long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.420682682304,-34.601691683870804,375,5,Medrano Av.,700,725,Platanus,3.2,Ocupada,Regular,Bajo nivel,61,13
-58.4206646825557,-34.6015665238561,376,5,Medrano Av.,700,735,Platanus,3.2,Ocupada,Regular,Bajo nivel,57,14
-58.4206479034686,-34.6014498513221,377,5,Medrano Av.,700,741,Platanus,3.2,Ocupada,Regular,Elevada,65,14
-58.4206366399137,-34.6013715304926,378,5,Medrano Av.,700.0,747.0,Platanus,3.2,Ocupada,Regular,A nivel,57,15
-58.4207593434774,-34.6012229524784,379,5,Medrano Av.,700.0,762.0,Platanus,3.2,Ocupada,Regular,Bajo nivel,61,15
-58.4205633280058,-34.6008617548368,380,5,Medrano Av.,700.0,799.0,Platanus,3.2,Ocupada,Regular,A nivel,48,12
-58.4204876187438,-34.5993771379183,420,5,Medrano Av.,900.0,904.0,Platanus,3.2,Ocupada,Regular,A nivel,70,24
-58.420393603961706,-34.5988073988318,423,5,Medrano Av.,900.0,928.0,Platanus,3.2,Ocupada,Ochava,A nivel,64,27
-58.420246415217505,-34.5987881825806,458,5,Medrano Av.,900.0,951.0,Platanus,3.2,Ocupada,Ochava,A nivel,75,23
-58.420246415217505,-34.5987881825806,459,5,Medrano Av.,900.0,951.0,Platanus,3.2,Ocupada,Regular,A nivel,42,23
-58.420246415217505,-34.5987881825806,460,5,Medrano Av.,900.0,951.0,Platanus,3.2,Ocupada,Regular,A nivel,45,23
-58.420246415217505,-34.5987881825806,461,5,Medrano Av.,900.0,951.0,Platanus,3.2,Ocupada,Regular,A nivel,55,23
-58.420246415217505,-34.5987881825806,462,5,Medrano Av.,900.0,951.0,Platanus,3.2,Ocupada,Regular,A nivel,58,26
-58.420246415217505,-34.5987881825806,463,5,Medrano Av.,900.0,951.0,Platanus,3.2,Ocupada,Regular,A nivel,45,23
-58.420246415217505,-34.5987881825806,464,5,Medrano Av.,900.0,951.0,Platanus,3.2,Ocupada,Regular,A nivel,66,24
-58.4207386702257,-34.601079202597106,502,5,Medrano Av.,700.0,766.0,Platanus,3.2,Ocupada,Regular,A nivel,75,15
-58.4203658810404,-34.5986378237007,434,5,Medrano Av.,900.0,938.0,Platanus,3.2,Ocupada,Regular,A nivel,80,21
-58.4203537837905,-34.5985644676869,435,5,Medrano Av.,900.0,948.0,Platanus,3.2,Ocupada,Regular,A nivel,62,20
-58.4203537837905,-34.5985644676869,436,5,Medrano Av.,900.0,948.0,Platanus,3.2,Ocupada,Regular,A nivel,63,20
-58.4203092465412,-34.5982943990072,437,5,Medrano Av.,900.0,966.0,Platanus,3.2,Ocupada,Regular,A nivel,52,16
-58.4203092465412,-34.5982943990072,438,5,Medrano Av.,900.0,966.0,Platanus,3.2,Ocupada,Regular,A nivel,64,20
-58.4203092465412,-34.5982943990072,439,5,Medrano Av.,900.0,966.0,Ficus,3.2,Ocupada,Regular,A nivel,14,7
