long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.48245611869229,-34.5517631195936,119568,12,Melián Av.,4000.0,4022.0,Melia,3.2,Ocupada,Regular,A nivel,69,12
-58.482212557920896,-34.5520392497521,119466,12,Melián Av.,3900.0,3994.0,Tilia,3.2,Ocupada,Regular,A nivel,10,3
-58.4818482500723,-34.5525206285632,119468,12,Melián Av.,3900.0,3920.0,Platanus,3.6,Ocupada,Regular,A nivel,49,17
-58.4818482500723,-34.5525206285632,119469,12,Melián Av.,3900.0,3920.0,Platanus,3.6,Ocupada,Regular,A nivel,48,18
-58.4843960692728,-34.5490106549263,124166,12,Melián Av.,4300.0,4379.0,Ficus,3.2,Ocupada,Regular,Elevada,38,8
-58.48430050164411,-34.5491369633935,124176,12,Melián Av.,4300.0,4355.0,Ficus,3.2,Ocupada,Regular,Bajo nivel,34,9
-58.4841469303099,-34.549339932410604,124178,12,Melián Av.,4300.0,4341.0,Ficus,3.2,Ocupada,NA,A nivel,29,7
-58.48430050164411,-34.5491369633935,124183,12,Melián Av.,4300.0,4355.0,Platanus,3.2,Ocupada,Regular,Bajo nivel,100,18
-58.4843146490821,-34.5493011957604,125084,12,Melián Av.,4300.0,4322.0,Ficus,3.2,Ocupada,Regular,Elevada,14,2
-58.478696054481894,-34.556693237785304,126264,12,Melián Av.,3400.0,3476.0,Ficus,2.7,Ocupada,Regular,A nivel,19,5
-58.4786492206091,-34.556754604419396,126272,12,Melián Av.,3400.0,3470.0,Ficus,2.7,Ocupada,Regular,Elevada,4,2
-58.4812139666009,-34.5533588591688,128461,12,Melián Av.,3800.0,3808.0,Tilia,3.6,Ocupada,Regular,A nivel,21,7
-58.481269510489206,-34.5532854675646,128465,12,Melián Av.,3800.0,3814.0,Ficus,3.6,Ocupada,Regular,Elevada,36,3
-58.4814709540078,-34.553019293568305,128469,12,Melián Av.,3800.0,3850.0,Lagerstroemia,3.6,Ocupada,Regular,A nivel,17,5
-58.4814709540078,-34.553019293568305,128470,12,Melián Av.,3800.0,3850.0,Lagerstroemia,3.6,Ocupada,Regular,A nivel,3,2
-58.481587190237,-34.5528657058633,128472,12,Melián Av.,3800.0,3882.0,Tilia,3.6,Ocupada,Regular,A nivel,14,4
-58.481647144849994,-34.5527864851193,128474,12,Melián Av.,3800.0,3894.0,Ficus,3.6,Ocupada,Regular,A nivel,58,7
-58.4803763393462,-34.5544652926612,128532,12,Melián Av.,3600.0,3684.0,Ficus,3.6,Ocupada,Regular,A nivel,28,7
-58.4800909371604,-34.5548424029739,128536,12,Melián Av.,3600.0,3652.0,Tilia,3.6,Ocupada,Regular,A nivel,26,12
-58.4799887845786,-34.5549773791998,128537,12,Melián Av.,3600.0,3634.0,Lagerstroemia,3.6,Ocupada,Regular,Elevada,6,18
-58.4799887845786,-34.5549773791998,128549,12,Melián Av.,3690.0,3634.0,Lagerstroemia,3.6,Ocupada,Regular,Elevada,16,6
-58.4804343703772,-34.5543886140525,128623,12,Melián Av.,3600.0,3688.0,Lagerstroemia,3.6,Ocupada,Regular,Bajo nivel,28,6
-58.4804883162998,-34.5543173331074,128624,12,Melián Av.,3600.0,3690.0,Tilia,3.6,Ocupada,Regular,A nivel,31,15
-58.4785747907231,-34.5567102145905,130300,12,Melián Av.,3400.0,3477.0,Tilia,2.4,Ocupada,Regular,A nivel,36,12
