long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3749093710388,-34.6374988766007,347497,4,Montes de Oca Manuel Av.,700,823,Ficus,2.8,Ocupada,Regular,A nivel,27,7
-58.37502398061339,-34.6368674033389,347501,4,Montes de Oca Manuel Av.,700,753,Platanus,2.8,Ocupada,Regular,Elevada,25,10
-58.3744360378834,-34.6389119369904,347548,4,Montes de Oca Manuel Av.,900,928,Platanus,2.8,Ocupada,Regular,A nivel,32,12
-58.374594362975294,-34.6392232175163,347551,4,Montes de Oca Manuel Av.,900,927,Tilia,3,Sobreocupada,Regular,Elevada,25,8
-58.3745691700523,-34.639370939429604,347554,4,Montes de Oca Manuel Av.,900,949,Ficus,3,Ocupada,Regular,Elevada,40,10
-58.3730194041067,-34.646301843186805,346352,4,Montes de Oca Manuel Av.,1600,1688,Platanus,7.8,Ocupada,Regular,A nivel,58,20
-58.3730194041067,-34.646301843186805,346353,4,Montes de Oca Manuel Av.,1600,1688,Platanus,7.8,Ocupada,Regular,Bajo nivel,52,20
-58.3730194041067,-34.646301843186805,346354,4,Montes de Oca Manuel Av.,1600,1680,Platanus,7.8,Ocupada,Regular,Bajo nivel,49,19
-58.3730622113397,-34.646074792871396,346356,4,Montes de Oca Manuel Av.,1600,1654,Platanus,7.8,Ocupada,Regular,Bajo nivel,62,19
-58.3729826132227,-34.6480994333182,346380,4,Montes de Oca Manuel Av.,1700,1797,Platanus,7.8,Ocupada,Regular,Bajo nivel,46,13
-58.373007688815896,-34.647954270502304,346381,4,Montes de Oca Manuel Av.,1700,1791,Platanus,7.8,Ocupada,Regular,Bajo nivel,59,15
-58.373007688815896,-34.647954270502304,346382,4,Montes de Oca Manuel Av.,1700,1789,Platanus,7.8,Ocupada,Regular,Bajo nivel,43,18
-58.3730078602929,-34.6479536468387,346383,4,Montes de Oca Manuel Av.,1700,1785,Platanus,7.8,Ocupada,Regular,Bajo nivel,59,19
-58.3730816274961,-34.6475353241361,346384,4,Montes de Oca Manuel Av.,1700,1763,Platanus,7.8,Ocupada,Regular,Bajo nivel,80,20
-58.3747959726929,-34.6369853738723,341772,4,Montes de Oca Manuel Av.,700,790,Ficus,3.6,Sobreocupada,Regular,Elevada,20,3
-58.3748743007446,-34.6365789481252,341775,4,Montes de Oca Manuel Av.,700,736,Platanus,3.6,Ocupada,Regular,A nivel,36,13
-58.37502094500321,-34.6358306057452,341697,4,Montes de Oca Manuel Av.,600,650,Platanus,4,Ocupada,Regular,A nivel,67,15
-58.37502094500321,-34.6358306057452,341698,4,Montes de Oca Manuel Av.,600,650,Platanus,4,Ocupada,Regular,A nivel,50,15
-58.37505840003801,-34.6356362609467,341699,4,Montes de Oca Manuel Av.,600,630,Platanus,4,Ocupada,Regular,A nivel,44,15
-58.3736261332566,-34.6445168309876,367402,4,Montes de Oca Manuel Av.,1400,1451,Platanus,4.4,Ocupada,Regular,Bajo nivel,55,17
-58.3742357340932,-34.6400580071023,365713,4,Montes de Oca Manuel Av.,1000,1034,Ficus,3.4,Ocupada,Regular,Elevada,32,11
-58.374183470366106,-34.6403268063915,365714,4,Montes de Oca Manuel Av.,1000,1058,Platanus,3.2,Ocupada,Regular,A nivel,32,13
-58.3736798975855,-34.6428375487378,363793,4,Montes de Oca Manuel Av.,1200,1286,Platanus,4.8,Ocupada,Regular,Bajo nivel,22,8
-58.373626676524296,-34.6431253597492,363798,4,Montes de Oca Manuel Av.,1300,1336,Platanus,4.8,Ocupada,Regular,A nivel,21,16
-58.373626676524296,-34.6431253597492,363799,4,Montes de Oca Manuel Av.,1300,1336,Platanus,4.8,Ocupada,Regular,A nivel,52,15
-58.373626676524296,-34.6431253597492,363800,4,Montes de Oca Manuel Av.,1300,1336,Platanus,4.8,Ocupada,Regular,A nivel,52,15
-58.3734687915804,-34.6439148245861,363805,4,Montes de Oca Manuel Av.,1400,1428,Platanus,4.8,Ocupada,Regular,A nivel,29,10
-58.37344073710529,-34.644065144703696,363808,4,Montes de Oca Manuel Av.,1400,1434,Ficus,4.8,Ocupada,Fuera de línea,Elevada,51,7
-58.3734254440236,-34.644147099436495,363809,4,Montes de Oca Manuel Av.,1400,1438,Platanus,4.8,Ocupada,Regular,Bajo nivel,50,16
-58.3732563915062,-34.6450530311078,363810,4,Montes de Oca Manuel Av.,1500,1540,Platanus,4.8,Ocupada,Regular,A nivel,47,13
-58.3732563915062,-34.6450530311078,363811,4,Montes de Oca Manuel Av.,1500,1540,Platanus,4.8,Ocupada,Regular,A nivel,61,16
-58.3732563915062,-34.6450530311078,363813,4,Montes de Oca Manuel Av.,1500,1540,Platanus,5.2,Ocupada,Regular,Elevada,39,13
-58.373224785040705,-34.645222404015,363814,4,Montes de Oca Manuel Av.,1500,1566,Ficus,5.2,Ocupada,Regular,Bajo nivel,34,8
-58.372938529352105,-34.6467739951141,363815,4,Montes de Oca Manuel Av.,1700,1710,Ficus,5.6,Ocupada,Regular,Bajo nivel,16,5
-58.37291543298579,-34.646904144875805,363816,4,Montes de Oca Manuel Av.,1700,1720,Platanus,5.6,Ocupada,Regular,A nivel,42,15
-58.37291543298579,-34.646904144875805,363817,4,Montes de Oca Manuel Av.,1700,1720,Platanus,5.2,Ocupada,Regular,Bajo nivel,37,15
-58.3732565771252,-34.646526533624396,363821,4,Montes de Oca Manuel Av.,1600,1687,Platanus,5.2,Ocupada,Regular,Bajo nivel,58,16
-58.3732565771252,-34.646526533624396,363822,4,Montes de Oca Manuel Av.,1600,1687,Platanus,5.2,Ocupada,Regular,Bajo nivel,46,16
-58.3732565771252,-34.646526533624396,363823,4,Montes de Oca Manuel Av.,1600,1687,Platanus,5.2,Ocupada,Regular,Bajo nivel,40,15
-58.3732947385145,-34.6463141357563,363824,4,Montes de Oca Manuel Av.,1600,1677,Platanus,5.2,Ocupada,Regular,Bajo nivel,51,17
-58.3732957872999,-34.6463125011693,363825,4,Montes de Oca Manuel Av.,1600,1673,Platanus,5.2,Ocupada,Regular,Bajo nivel,58,17
-58.37333152431721,-34.6461201997173,363827,4,Montes de Oca Manuel Av.,1600,1653,Platanus,5.2,Ocupada,Regular,Bajo nivel,22,9
-58.3733573159558,-34.6459814139217,363828,4,Montes de Oca Manuel Av.,1600,1643,Platanus,5.2,Ocupada,Regular,Bajo nivel,29,10
-58.373379488416205,-34.6458621210016,363829,4,Montes de Oca Manuel Av.,1600,1619,Platanus,5.2,Ocupada,Regular,Bajo nivel,42,16
-58.37343351174379,-34.6455714881857,363830,4,Montes de Oca Manuel Av.,1600,1603,Platanus,5.2,Ocupada,Regular,Bajo nivel,32,12
-58.3734852131528,-34.6452720124458,363831,4,Montes de Oca Manuel Av.,1500,1555,Platanus,4.4,Ocupada,Regular,Bajo nivel,29,9
-58.373533673546,-34.6450123180078,363832,4,Montes de Oca Manuel Av.,1500,1525,Platanus,4.4,Ocupada,Regular,Elevada,53,12
-58.3732943681543,-34.6448495206641,363833,4,Montes de Oca Manuel Av.,1500,1528,Platanus,4.4,Ocupada,Regular,Elevada,45,11
-58.373533673546,-34.6450123180078,363834,4,Montes de Oca Manuel Av.,1500,1525,Platanus,4.4,Ocupada,Regular,Elevada,55,14
