long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.36747639817389,-34.5999669672932,54862,1,Moreau  de Justo Alicia Av.,100.0,158.0,Platanus,4,Ocupada,Regular,A nivel,79,19
-58.36747639817389,-34.5999669672932,54864,1,Moreau  de Justo Alicia Av.,100.0,158.0,Platanus,4,Ocupada,Regular,A nivel,68,20
-58.36747639817389,-34.5999669672932,54865,1,Moreau  de Justo Alicia Av.,100.0,158.0,Platanus,4,Ocupada,Regular,A nivel,59,19
-58.36747639817389,-34.5999669672932,54866,1,Moreau  de Justo Alicia Av.,100.0,158.0,Platanus,4,Ocupada,Regular,Bajo nivel,74,17
-58.36747639817389,-34.5999669672932,54870,1,Moreau  de Justo Alicia Av.,100.0,158.0,Platanus,4,Ocupada,Regular,A nivel,68,19
-58.36747639817389,-34.5999669672932,54873,1,Moreau  de Justo Alicia Av.,100.0,158.0,Platanus,4,Ocupada,Regular,A nivel,94,18
-58.36747639817389,-34.5999669672932,62439,1,Moreau  de Justo Alicia Av.,100.0,158.0,Platanus,4,Ocupada,Regular,A nivel,62,19
-58.365641999406,-34.6179622964421,64048,1,Moreau  de Justo Alicia Av.,1700.0,1700.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,70,19
-58.365641999406,-34.6179622964421,64049,1,Moreau  de Justo Alicia Av.,1700.0,1700.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,61,21
-58.365641999406,-34.6179622964421,64051,1,Moreau  de Justo Alicia Av.,1700.0,1700.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,54,19
-58.365641999406,-34.6179622964421,64052,1,Moreau  de Justo Alicia Av.,1700.0,1700.0,Platanus,2.9,Ocupada,Regular,A nivel,27,12
-58.365641999406,-34.6179622964421,64055,1,Moreau  de Justo Alicia Av.,1700.0,1700.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,42,14
-58.365641999406,-34.6179622964421,64058,1,Moreau  de Justo Alicia Av.,1700.0,1700.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,45,17
-58.365641999406,-34.6179622964421,64060,1,Moreau  de Justo Alicia Av.,1700.0,1700.0,Platanus,2.9,Ocupada,Regular,A nivel,39,15
-58.3654480035402,-34.6203187519606,64178,1,Moreau  de Justo Alicia Av.,1850.0,1850.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,50,16
-58.3654480035402,-34.6203187519606,64177,1,Moreau  de Justo Alicia Av.,1850.0,1850.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,38,14
-58.3654480035402,-34.6203187519606,64179,1,Moreau  de Justo Alicia Av.,1850.0,1850.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,44,12
-58.3654480035402,-34.6203187519606,64180,1,Moreau  de Justo Alicia Av.,1850.0,1850.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,43,18
-58.3654480035402,-34.6203187519606,64181,1,Moreau  de Justo Alicia Av.,1850.0,1850.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,29,13
-58.3654480035402,-34.6203187519606,64182,1,Moreau  de Justo Alicia Av.,1850.0,1850.0,Platanus,2.9,Ocupada,Ochava,A nivel,63,18
-58.3654480035402,-34.6203187519606,64183,1,Moreau  de Justo Alicia Av.,1850.0,1850.0,Platanus,2.9,Ocupada,Regular,A nivel,39,15
-58.3654480035402,-34.6203187519606,64185,1,Moreau  de Justo Alicia Av.,1850.0,1850.0,Platanus,2.9,Ocupada,Fuera de línea,A nivel,42,17
-58.3661369892669,-34.611597279484,64842,1,Moreau  de Justo Alicia Av.,700.0,1178.0,Lagerstroemia,10.5,Ocupada,Regular,Elevada,10,4
-58.366234289263296,-34.6108933638729,64866,1,Moreau  de Justo Alicia Av.,700.0,1140.0,Ficus,10.5,Ocupada,Regular,Elevada,39,4
-58.366234289263296,-34.6108933638729,64879,1,Moreau  de Justo Alicia Av.,700.0,1140.0,Lagerstroemia,10.5,Sobreocupada,Regular,Elevada,6,3
-58.366234289263296,-34.6108933638729,64880,1,Moreau  de Justo Alicia Av.,700.0,1140.0,Lagerstroemia,10.5,Sobreocupada,Regular,Elevada,7,3
-58.3661625139677,-34.611211199432205,64883,1,Moreau  de Justo Alicia Av.,700.0,1160.0,Ficus,10.5,Ocupada,Regular,Elevada,63,4
-58.3665447230604,-34.608032611761395,66811,1,Moreau  de Justo Alicia Av.,700.0,840.0,Ficus,10.5,Ocupada,Regular,Elevada,10,2
-58.3665447230604,-34.608032611761395,66816,1,Moreau  de Justo Alicia Av.,700.0,840.0,Ficus,10.5,Ocupada,Regular,Elevada,10,2
-58.3665447230604,-34.608032611761395,66822,1,Moreau  de Justo Alicia Av.,700.0,840.0,Ficus,10.5,Ocupada,Regular,Elevada,12,2
-58.366345657420304,-34.6098344422828,67465,1,Moreau  de Justo Alicia Av.,700.0,1020.0,Ficus,10.5,Ocupada,Regular,A nivel,20,2
-58.366345657420304,-34.6098344422828,67475,1,Moreau  de Justo Alicia Av.,700.0,1020.0,Ficus,10.5,Ocupada,Regular,A nivel,20,2
-58.366048314577895,-34.6144593677596,69767,1,Moreau  de Justo Alicia Av.,1200.0,1400.0,Tilia,NA,Ocupada,Regular,A nivel,15,6
-58.3659005817134,-34.6157200453931,69768,1,Moreau  de Justo Alicia Av.,1200.0,1500.0,Tilia,NA,Ocupada,Regular,A nivel,19,7
-58.366048314577895,-34.6144593677596,69769,1,Moreau  de Justo Alicia Av.,1200.0,1400.0,Tilia,NA,Ocupada,Regular,A nivel,19,7
-58.365925542502005,-34.615472096714,69770,1,Moreau  de Justo Alicia Av.,1200.0,1480.0,Tilia,NA,Ocupada,Regular,A nivel,14,5
-58.365925542502005,-34.615472096714,69771,1,Moreau  de Justo Alicia Av.,1200.0,1480.0,Tilia,NA,Ocupada,Regular,A nivel,11,5
