long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
NA,NA,229524,11,Mosconi Enrique Gral. Av.,4500,4482.0,Lagerstroemia,4.8,Ocupada,Regular,A nivel,11,6
NA,NA,230651,11,Mosconi Enrique Gral. Av.,4650,4424.0,Tilia,4.8,Ocupada,Regular,A nivel,33,9
NA,NA,229551,11,Mosconi Enrique Gral. Av.,4500,4480.0,Lagerstroemia,4.8,Ocupada,Regular,A nivel,14,3
NA,NA,230691,11,Mosconi Enrique Gral. Av.,4650,4412.0,Tilia,4.8,Ocupada,Regular,A nivel,41,13
NA,NA,230750,11,Mosconi Enrique Gral. Av.,4450,4412.0,Tilia,4.8,Ocupada,Ochava,A nivel,36,14
NA,NA,230565,11,Mosconi Enrique Gral. Av.,4450,4442.0,Melia,4.8,Ocupada,Ochava,A nivel,72,15
NA,NA,229463,11,Mosconi Enrique Gral. Av.,4500,4492.0,Melia,4.8,Sobreocupada,Regular,Elevada,84,16
NA,NA,230617,11,Mosconi Enrique Gral. Av.,4450,4432.0,Tilia,4.8,Sobreocupada,Regular,Elevada,35,12
NA,NA,229505,11,Mosconi Enrique Gral. Av.,4500,4488.0,Tilia,4.8,Ocupada,Regular,A nivel,28,12
NA,NA,246897,11,Mosconi Enrique Gral. Av.,4400,4348.0,Tilia,4.8,Ocupada,Regular,A nivel,38,12
NA,NA,246926,11,Mosconi Enrique Gral. Av.,4400,4346.0,Lagerstroemia,4.8,Ocupada,Regular,A nivel,25,9
NA,NA,225768,11,Mosconi Enrique Gral. Av.,4200,4288.0,Jacaranda,2.8,Ocupada,Regular,A nivel,39,7
NA,NA,225807,11,Mosconi Enrique Gral. Av.,4200,4240.0,Lagerstroemia,2.8,Sobreocupada,Regular,A nivel,7,5
NA,NA,225823,11,Mosconi Enrique Gral. Av.,4200,4236.0,Tilia,2.8,Ocupada,Regular,A nivel,14,7
NA,NA,243464,11,Mosconi Enrique Gral. Av.,4500,4526.0,Platanus,4.4,Ocupada,Regular,A nivel,87,10
NA,NA,243908,11,Mosconi Enrique Gral. Av.,4200,4219.0,Lagerstroemia,2.2,Ocupada,Regular,Bajo nivel,4,3
NA,NA,243923,11,Mosconi Enrique Gral. Av.,4200,4223.0,Tilia,2.2,Ocupada,Regular,A nivel,16,7
NA,NA,254189,11,Mosconi Enrique Gral. Av.,4000,4008.0,Ficus,4.4,Ocupada,Regular,A nivel,22,2
NA,NA,254269,11,Mosconi Enrique Gral. Av.,4000,4054.0,Jacaranda,4.4,Ocupada,Regular,A nivel,3,2
NA,NA,271961,11,Mosconi Enrique Gral. Av.,4000,4051.0,Melia,4.4,Ocupada,Regular,A nivel,38,8
NA,NA,271964,11,Mosconi Enrique Gral. Av.,4000,4065.0,Melia,4.4,Ocupada,Regular,A nivel,70,8
NA,NA,265486,11,Mosconi Enrique Gral. Av.,3800,3800.0,Melia,4.4,Ocupada,Regular,A nivel,20,5
NA,NA,277715,11,Mosconi Enrique Gral. Av.,4100,4144.0,Melia,4.4,Ocupada,Regular,Bajo nivel,19,11
NA,NA,277717,11,Mosconi Enrique Gral. Av.,4100,4150.0,Platanus,4.4,Ocupada,Regular,A nivel,7,5
NA,NA,277720,11,Mosconi Enrique Gral. Av.,4100,4176.0,Jacaranda,4.4,Ocupada,Regular,Elevada,17,6
NA,NA,277723,11,Mosconi Enrique Gral. Av.,4100,4190.0,Melia,4.4,Sobreocupada,Regular,Elevada,91,12
NA,NA,277724,11,Mosconi Enrique Gral. Av.,4100,4194.0,Melia,4.4,Sobreocupada,Regular,Elevada,51,9
NA,NA,277725,11,Mosconi Enrique Gral. Av.,4100,4198.0,Ficus,4.4,Sobreocupada,Ochava,Elevada,43,5
NA,NA,277775,11,Mosconi Enrique Gral. Av.,4100,4197.0,Ficus,4.2,Ocupada,Ochava,A nivel,102,6
NA,NA,277778,11,Mosconi Enrique Gral. Av.,4100,4185.0,Jacaranda,4.2,Ocupada,Regular,A nivel,10,6
NA,NA,277783,11,Mosconi Enrique Gral. Av.,4100,4133.0,Jacaranda,4.2,Ocupada,Regular,A nivel,12,7
NA,NA,289830,11,Mosconi Enrique Gral. Av.,3800,3800.0,Melia,4.4,Ocupada,Regular,A nivel,19,7
NA,NA,291469,11,Mosconi Enrique Gral. Av.,3900,3984.0,Melia,4.6,Sobreocupada,Regular,Elevada,54,8
NA,NA,291470,11,Mosconi Enrique Gral. Av.,3900,3980.0,Melia,4.6,Ocupada,Regular,A nivel,66,9
NA,NA,291471,11,Mosconi Enrique Gral. Av.,3900,3950.0,Melia,4.6,Sobreocupada,Regular,A nivel,52,7
NA,NA,291472,11,Mosconi Enrique Gral. Av.,3900,3950.0,Melia,4.6,Sobreocupada,Regular,A nivel,21,6
NA,NA,294269,11,Mosconi Enrique Gral. Av.,3800,3887.0,Platanus,44,Ocupada,Regular,A nivel,86,9
NA,NA,294271,11,Mosconi Enrique Gral. Av.,3800,3879.0,Platanus,4.4,Ocupada,Regular,A nivel,54,11
NA,NA,294272,11,Mosconi Enrique Gral. Av.,3800,3871.0,Platanus,4.4,Ocupada,Regular,A nivel,56,14
NA,NA,294273,11,Mosconi Enrique Gral. Av.,3800,3871.0,Platanus,4.4,Ocupada,Regular,A nivel,52,15
NA,NA,294274,11,Mosconi Enrique Gral. Av.,3800,3871.0,Platanus,4.4,Ocupada,Regular,A nivel,57,14
NA,NA,294275,11,Mosconi Enrique Gral. Av.,3800,3871.0,Platanus,4.4,Ocupada,Regular,A nivel,51,15
NA,NA,294276,11,Mosconi Enrique Gral. Av.,3800,3871.0,Platanus,4.4,Ocupada,Regular,A nivel,57,14
NA,NA,294277,11,Mosconi Enrique Gral. Av.,3800,3871.0,Platanus,4.4,Ocupada,Regular,A nivel,59,14
NA,NA,294279,11,Mosconi Enrique Gral. Av.,3800,3845.0,Platanus,4.4,Ocupada,Regular,Elevada,63,15
NA,NA,294280,11,Mosconi Enrique Gral. Av.,3800,3845.0,Platanus,4.4,Ocupada,Regular,A nivel,57,16
NA,NA,294281,11,Mosconi Enrique Gral. Av.,3800,3845.0,Platanus,4.4,Ocupada,Regular,A nivel,62,15
NA,NA,294282,11,Mosconi Enrique Gral. Av.,3800,3845.0,Platanus,4.4,Ocupada,Regular,A nivel,57,16
NA,NA,294283,11,Mosconi Enrique Gral. Av.,3800,3845.0,Platanus,4.4,Ocupada,Regular,A nivel,64,16
NA,NA,294887,11,Mosconi Enrique Gral. Av.,3700,3700.0,Jacaranda,4.2,Ocupada,Regular,A nivel,17,6
NA,NA,294889,11,Mosconi Enrique Gral. Av.,4700,4700.0,Melia,4.2,Ocupada,Regular,A nivel,76,10
NA,NA,294890,11,Mosconi Enrique Gral. Av.,3700,3700.0,Melia,4.2,Ocupada,Regular,A nivel,74,9
NA,NA,294891,11,Mosconi Enrique Gral. Av.,3700,3700.0,Melia,4.2,Ocupada,Regular,A nivel,31,8
NA,NA,294892,11,Mosconi Enrique Gral. Av.,3700,3700.0,Jacaranda,4.2,Ocupada,Regular,A nivel,12,6
NA,NA,294893,11,Mosconi Enrique Gral. Av.,3700,3700.0,Melia,4.2,Ocupada,Regular,A nivel,72,9
NA,NA,294894,11,Mosconi Enrique Gral. Av.,3700,3700.0,Jacaranda,4.2,Ocupada,Regular,A nivel,1,2
NA,NA,294895,11,Mosconi Enrique Gral. Av.,3700,3700.0,Jacaranda,4.2,Ocupada,Regular,A nivel,12,6
NA,NA,294896,11,Mosconi Enrique Gral. Av.,3700,3700.0,Jacaranda,4.2,Ocupada,Regular,A nivel,13,5
NA,NA,294897,11,Mosconi Enrique Gral. Av.,3700,3700.0,Jacaranda,4.2,Ocupada,Regular,A nivel,16,6
NA,NA,294899,11,Mosconi Enrique Gral. Av.,3700,3700.0,Melia,4.2,Ocupada,Regular,A nivel,51,9
NA,NA,294900,11,Mosconi Enrique Gral. Av.,3700,3700.0,Melia,4.2,Ocupada,Regular,A nivel,15,6
