long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4790398557955,-34.5726325683522,146649,12,Olazábal Av.,4400.0,4458.0,Ficus,5.8,Ocupada,Regular,Elevada,59,7
-58.47927917225179,-34.5727706226159,146650,12,Olazábal Av.,4400.0,4470.0,Ficus,5.8,Ocupada,Regular,Bajo nivel,43,8
-58.479199977789705,-34.5727249378875,146651,12,Olazábal Av.,4400.0,4468.0,Ficus,5.8,Ocupada,Regular,Elevada,74,6
-58.478796485541295,-34.57249217463411,146652,12,Olazábal Av.,4400.0,4430.0,Ficus,5.8,Ocupada,Regular,Bajo nivel,50,6
-58.485011042832,-34.5760669929351,149736,12,Olazábal Av.,5000.0,5008.0,Ficus,5.2,Ocupada,Regular,Elevada,76,16
-58.485194042090704,-34.576171840037105,149738,12,Olazábal Av.,5000.0,5036.0,Ficus,5.2,Sobreocupada,Regular,Elevada,38,9
-58.4827710825583,-34.574633224513605,149024,12,Olazábal Av.,4700.0,4795.0,Lagerstroemia,6.5,Sobreocupada,Regular,Elevada,6,4
-58.48266548549629,-34.574572167678,149062,12,Olazábal Av.,4700.0,4787.0,Ficus,6.5,Ocupada,Regular,Elevada,75,12
-58.4830362048913,-34.5749448623538,148318,12,Olazábal Av.,4800.0,4810.0,Jacaranda,5.8,Ocupada,Ochava,A nivel,33,11
-58.4830362048913,-34.5749448623538,148320,12,Olazábal Av.,4800.0,4810.0,Jacaranda,5.8,Ocupada,Regular,A nivel,36,14
-58.481970361889104,-34.574170238619104,149083,12,Olazábal Av.,4700.0,4715.0,Jacaranda,6.5,Ocupada,Regular,A nivel,51,12
-58.48022130972299,-34.5731608872506,150442,12,Olazábal Av.,4500.0,4565.0,Ficus,5.6,Ocupada,Regular,Elevada,34,9
-58.4770402081017,-34.571465803375304,150686,12,Olazábal Av.,4200.0,4252.0,Lagerstroemia,6,Ocupada,Regular,A nivel,14,5
-58.4821998912461,-34.5743029562015,149091,12,Olazábal Av.,4700.0,4735.0,Ficus,6.5,Ocupada,Regular,Elevada,28,4
-58.482433357034395,-34.5744379490103,149096,12,Olazábal Av.,4700.0,4763.0,Tilia,6.5,Ocupada,Regular,A nivel,45,12
-58.483345344723,-34.575121364949105,148348,12,Olazábal Av.,4800.0,4842.0,Ficus,5.8,Ocupada,Regular,Bajo nivel,39,9
-58.481585957969294,-34.5739456775116,148892,12,Olazábal Av.,4600.0,4681.0,Jacaranda,6.5,Ocupada,Regular,Elevada,48,9
-58.484473849993996,-34.5757587119017,148404,12,Olazábal Av.,4900.0,4916.0,Ficus,6.1,Ocupada,Regular,Elevada,17,2
-58.484473849993996,-34.5757587119017,148405,12,Olazábal Av.,4900.0,4920.0,Ficus,6.1,Ocupada,Regular,Elevada,30,2
-58.48103035443211,-34.573624390341394,148660,12,Olazábal Av.,4600.0,4609.0,Ficus,6.5,Ocupada,Regular,Elevada,9,2
-58.48103035443211,-34.573624390341394,148661,12,Olazábal Av.,4600.0,4611.0,Ficus,6.5,Ocupada,Fuera de línea,Elevada,13,2
-58.4793178040008,-34.5726372986639,151678,12,Olazábal Av.,4400.0,4499.0,Ficus,5.6,Ocupada,Regular,Bajo nivel,64,11
-58.473401139621494,-34.569279366757,153850,12,Olazábal Av.,3800.0,3852.0,Ficus,5.2,Ocupada,Regular,A nivel,43,9
-58.487150102989595,-34.5772984459583,152408,12,Olazábal Av.,5200.0,5214.0,Ficus,3.4,Ocupada,Regular,A nivel,55,12
-58.4918305674123,-34.5800455102393,157732,12,Olazábal Av.,5600.0,5612.0,Ficus,3.2,Ocupada,Regular,A nivel,21,4
-58.47428561166221,-34.5698179518119,159354,12,Olazábal Av.,3900.0,3960.0,Melia,5.6,Ocupada,Regular,A nivel,73,14
-58.4744680217328,-34.5699286017964,159455,12,Olazábal Av.,3900.0,3990.0,Lagerstroemia,5.6,Ocupada,Regular,Elevada,3,2
-58.47439066570661,-34.5698823037031,159463,12,Olazábal Av.,3900.0,3978.0,Jacaranda,5.6,Ocupada,Regular,Elevada,9,5
-58.4889373006945,-34.578333075945395,156050,12,Olazábal Av.,5300.0,5368.0,Ficus,4.8,Ocupada,Regular,Elevada,1,2
-58.4721820337296,-34.5685381605374,159298,12,Olazábal Av.,3700.0,3716.0,Melia,5.6,Ocupada,Regular,A nivel,46,7
-58.4721820337296,-34.5685381605374,159304,12,Olazábal Av.,3700.0,3716.0,Ficus,5.6,Ocupada,Regular,A nivel,70,8
-58.472488772355206,-34.5687245978611,159306,12,Olazábal Av.,3700.0,3778.0,Ficus,5.6,Ocupada,Regular,A nivel,37,7
-58.472639926852,-34.568816554516104,159309,12,Olazábal Av.,3700.0,3790.0,Ficus,5.6,Sobreocupada,Regular,A nivel,33,7
-58.4727129221359,-34.5688609619283,159310,12,Olazábal Av.,3700.0,3796.0,Ficus,5.6,Ocupada,Regular,A nivel,64,8
-58.4749240257204,-34.5702011817868,159312,12,Olazábal Av.,4000.0,4030.0,Ficus,5.6,Ocupada,Regular,A nivel,28,5
-58.4750773188133,-34.5702928928416,159320,12,Olazábal Av.,4000.0,4048.0,Melia,5.6,Ocupada,Regular,A nivel,53,10
-58.474319065680596,-34.5696801662694,160962,12,Olazábal Av.,3900.0,3953.0,Melia,6,Ocupada,Regular,A nivel,70,14
-58.4902556536341,-34.5789502115669,159907,12,Olazábal Av.,5400.0,5469.0,Ficus,4.8,Ocupada,Regular,Elevada,67,15
-58.4892434433064,-34.5783477865024,163450,12,Olazábal Av.,5300.0,5377.0,Lagerstroemia,4.1,Ocupada,Regular,A nivel,2,2
-58.489435271137296,-34.5784610769907,163455,12,Olazábal Av.,5300.0,5391.0,Jacaranda,4.2,Ocupada,Regular,Bajo nivel,9,4
-58.487634920735,-34.5774139242163,163577,12,Olazábal Av.,5200.0,5235.0,Ficus,3.5,Sobreocupada,Regular,Elevada,5,2
-58.4779084413947,-34.5718218043421,161942,12,Olazábal Av.,4300.0,4325.0,Tilia,5.7,Ocupada,Regular,A nivel,31,8
-58.4780636819929,-34.5719113863163,161944,12,Olazábal Av.,4300.0,4349.0,Tilia,5.7,Ocupada,Regular,A nivel,17,5
-58.4772044846383,-34.5714069664092,162277,12,Olazábal Av.,4200.0,4255.0,Lagerstroemia,5.6,Ocupada,Regular,A nivel,13,4
-58.474005263845704,-34.569489247670695,160929,12,Olazábal Av.,3900.0,3915.0,Ficus,6,Sobreocupada,Regular,A nivel,19,4
-58.4741593493079,-34.569582994247696,160948,12,Olazábal Av.,3900.0,3929.0,Melia,6,Sobreocupada,Regular,Elevada,88,16
-58.47610653552611,-34.5709087269697,166162,12,Olazábal Av.,4100.0,4150.0,Melia,5.6,Ocupada,Regular,Bajo nivel,25,8
-58.47610653552611,-34.5709087269697,166169,12,Olazábal Av.,4100.0,4150.0,Melia,5.6,Ocupada,Regular,Bajo nivel,56,5
-58.4810138056748,-34.573774877178195,168079,12,Olazábal Av.,4600.0,4614.0,Tilia,5.6,Ocupada,Regular,Elevada,23,8
-58.4802034818075,-34.5733019553413,166738,12,Olazábal Av.,4500.0,4556.0,Ficus,6,Ocupada,Regular,Bajo nivel,67,10
-58.4812093649304,-34.5738879630552,168112,12,Olazábal Av.,4600.0,4650.0,Ficus,5.6,Ocupada,Regular,Elevada,39,7
-58.481402429842994,-34.573999605908796,168116,12,Olazábal Av.,4600.0,4672.0,Ficus,5.6,Ocupada,Regular,A nivel,4,2
-58.4814793508323,-34.5740440865222,168119,12,Olazábal Av.,4600.0,4682.0,Ficus,5.6,Sobreocupada,Regular,Elevada,22,7
-58.476434755944794,-34.5709483446701,164123,12,Olazábal Av.,4100.0,4191.0,Platanus,5.6,Ocupada,Regular,Elevada,77,11
-58.47629835765329,-34.570867089039105,164135,12,Olazábal Av.,4100.0,4185.0,Melia,5.6,Ocupada,Regular,A nivel,80,13
-58.47629835765329,-34.570867089039105,164138,12,Olazábal Av.,4100.0,4185.0,Platanus,5.6,Ocupada,Regular,A nivel,96,20
-58.4853001460884,-34.5760798878471,166001,12,Olazábal Av.,5000.0,5037.0,Tilia,5.6,Ocupada,Regular,A nivel,24,10
-58.485215251295,-34.5760312485636,166005,12,Olazábal Av.,5000.0,5027.0,Tilia,5.6,Ocupada,Regular,A nivel,27,11
-58.47629835765329,-34.570867089039105,164142,12,Olazábal Av.,4100.0,4185.0,Melia,5.6,Ocupada,Regular,A nivel,57,12
