long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4824189000148,-34.6511367769056,268089,9,Olivera Av.,1100,1128,Ficus,5.6,Ocupada,Regular,A nivel,5,2
-58.481328512114295,-34.6530479438206,274774,9,Olivera Av.,1200,1276,Lagerstroemia,5.6,Ocupada,Regular,A nivel,12,5
-58.48136871862929,-34.652977773226496,274775,9,Olivera Av.,1200,1268,Jacaranda,5.6,Ocupada,Regular,A nivel,4,3
-58.4814090360539,-34.6529074089335,274776,9,Olivera Av.,1200,1260,Melia,5.6,Ocupada,Regular,A nivel,74,12
-58.4814334122785,-34.652864866075504,274777,9,Olivera Av.,1200,1254,Ficus,5.6,Ocupada,Regular,Elevada,49,6
-58.4815389852437,-34.6526806132127,274778,9,Olivera Av.,1200,1242,Melia,5.6,Ocupada,Regular,A nivel,48,8
-58.481682261272,-34.6524305570197,274781,9,Olivera Av.,1200,1228,Melia,5.8,Ocupada,Regular,A nivel,54,13
-58.4817390107641,-34.6523315130502,274782,9,Olivera Av.,1200,1218,Ficus,5.8,Ocupada,Regular,A nivel,0,3
-58.4818075830914,-34.6522118345083,274783,9,Olivera Av.,1200,1212,Melia,5.6,Ocupada,Regular,A nivel,48,10
-58.482482705026705,-34.6513290723393,272631,9,Olivera Av.,1100,1127,Jacaranda,6,Sobreocupada,Regular,Bajo nivel,6,4
-58.4824013004901,-34.6514724070354,272632,9,Olivera Av.,1100,1137,Melia,6,Ocupada,Regular,A nivel,45,5
-58.482361039711,-34.651543296820996,272634,9,Olivera Av.,1100,1147,Tilia,6,Ocupada,Regular,A nivel,4,3
-58.4823075198124,-34.6516375325912,272635,9,Olivera Av.,1100,1153,Tilia,6,Ocupada,Regular,A nivel,34,8
-58.4822804780949,-34.651685146519696,272636,9,Olivera Av.,1100,1157,Jacaranda,6,Ocupada,Regular,Elevada,4,3
-58.48211832401589,-34.6519688570842,272641,9,Olivera Av.,1100,1185,Melia,6,Ocupada,Regular,A nivel,84,13
-58.482090270963106,-34.652017834175894,272667,9,Olivera Av.,1150,1191,Melia,13,Ocupada,Ochava,A nivel,55,11
-58.482090270963106,-34.652017834175894,272668,9,Olivera Av.,1150,1191,Melia,5.8,Ocupada,Regular,A nivel,50,5
-58.48195581954229,-34.6522495178757,272677,9,Olivera Av.,1200,1201,Melia,5.8,Ocupada,Ochava,A nivel,18,5
-58.4818697533725,-34.652399728668605,272678,9,Olivera Av.,1200,1207,Melia,5.8,Ocupada,Regular,A nivel,44,7
-58.4817596065099,-34.652591966463596,272680,9,Olivera Av.,1200,1219,Melia,5.8,Ocupada,Regular,A nivel,60,9
-58.481666699993,-34.6527541141566,272681,9,Olivera Av.,1200,1255,Jacaranda,5.8,Ocupada,Regular,Bajo nivel,6,3
-58.48162027752629,-34.6528351339927,272683,9,Olivera Av.,1200,1261,Jacaranda,5.8,Ocupada,Regular,Bajo nivel,31,7
-58.4815740974448,-34.6529157306353,272684,9,Olivera Av.,1200,1263,Lagerstroemia,5.8,Ocupada,Regular,Elevada,5,3
