long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3690790034699,-34.6098928938167,52566,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,70,16
-58.3690790034699,-34.6098928938167,52569,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,40,15
-58.3690790034699,-34.6098928938167,52572,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,48,19
-58.3690790034699,-34.6098928938167,54734,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,46,14
-58.3690790034699,-34.6098928938167,54735,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,52,13
-58.3690790034699,-34.6098928938167,57881,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,81,12
-58.3690790034699,-34.6098928938167,57894,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,68,14
-58.3690790034699,-34.6098928938167,58754,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,49,15
-58.3690790034699,-34.6098928938167,58761,1,Paseo Colón Av.,200.0,250.0,Platanus,5,Ocupada,Regular,A nivel,46,14
-58.3684333467852,-34.619314357021196,64927,1,Paseo Colón Av.,1000.0,1000.0,Platanus,4.4,Ocupada,Regular,A nivel,67,24
-58.3684333467852,-34.619314357021196,64928,1,Paseo Colón Av.,1000.0,1000.0,Platanus,4.4,Ocupada,Regular,A nivel,75,20
-58.3684333467852,-34.619314357021196,64929,1,Paseo Colón Av.,1000.0,1000.0,Platanus,4.4,Ocupada,Regular,A nivel,58,21
-58.3684333467852,-34.619314357021196,64932,1,Paseo Colón Av.,1000.0,1000.0,Platanus,4.4,Ocupada,Regular,A nivel,49,20
-58.3684333467852,-34.619314357021196,64933,1,Paseo Colón Av.,1000.0,1000.0,Platanus,4.4,Ocupada,Regular,A nivel,15,19
-58.3684333467852,-34.619314357021196,64934,1,Paseo Colón Av.,1000.0,1000.0,Platanus,4.4,Ocupada,Regular,A nivel,54,23
-58.3684333467852,-34.619314357021196,64935,1,Paseo Colón Av.,1000.0,1000.0,Platanus,4.4,Ocupada,Regular,A nivel,61,20
-58.3684333467852,-34.619314357021196,64936,1,Paseo Colón Av.,1000.0,1000.0,Platanus,4.4,Ocupada,Regular,A nivel,47,21
-58.368816488207905,-34.615249876752,72370,1,Paseo Colón Av.,600.0,650.0,Platanus,5.6,Ocupada,Regular,A nivel,88,27
-58.368816488207905,-34.615249876752,72374,1,Paseo Colón Av.,600.0,650.0,Platanus,5.6,Ocupada,Regular,A nivel,51,27
-58.368816488207905,-34.615249876752,72485,1,Paseo Colón Av.,600.0,650.0,Platanus,5.6,Ocupada,Regular,A nivel,80,28
-58.368816488207905,-34.615249876752,72487,1,Paseo Colón Av.,600.0,650.0,Platanus,5.6,Ocupada,Regular,A nivel,74,28
-58.368816488207905,-34.615249876752,72578,1,Paseo Colón Av.,600.0,650.0,Platanus,5.6,Ocupada,Regular,A nivel,72,27
-58.368816488207905,-34.615249876752,72579,1,Paseo Colón Av.,600.0,650.0,Platanus,5.6,Ocupada,Regular,A nivel,88,29
-58.368816488207905,-34.615249876752,72580,1,Paseo Colón Av.,600.0,650.0,Platanus,6.5,Ocupada,Regular,A nivel,79,28
-58.3687886893149,-34.6155049131145,72581,1,Paseo Colón Av.,600.0,680.0,Platanus,5.6,Ocupada,Regular,A nivel,72,28
-58.368816488207905,-34.615249876752,72334,1,Paseo Colón Av.,600.0,650.0,Platanus,5.6,Ocupada,Regular,A nivel,69,27
-58.36848030696979,-34.618840563622996,73428,1,Paseo Colón Av.,900.0,982.0,Jacaranda,4.4,Ocupada,Regular,A nivel,32,7
-58.36848030696979,-34.618840563622996,73434,1,Paseo Colón Av.,900.0,982.0,Jacaranda,4.4,Ocupada,Regular,A nivel,17,4
-58.36865355710879,-34.6167121930292,74672,1,Paseo Colón Av.,700.0,780.0,Platanus,4.25,Ocupada,Regular,Elevada,91,24
-58.36865355710879,-34.6167121930292,74673,1,Paseo Colón Av.,700.0,780.0,Platanus,4.25,Ocupada,Ochava,A nivel,92,24
-58.36865355710879,-34.6167121930292,74674,1,Paseo Colón Av.,700.0,780.0,Platanus,4.25,Ocupada,Regular,A nivel,81,24
-58.36865355710879,-34.6167121930292,74676,1,Paseo Colón Av.,700.0,780.0,Platanus,4.25,Ocupada,Regular,A nivel,91,24
-58.36869440513899,-34.6163230018328,74679,1,Paseo Colón Av.,700.0,746.0,Ficus,4.25,Ocupada,Regular,Bajo nivel,76,7
-58.3687274271626,-34.6160083723086,74681,1,Paseo Colón Av.,700.0,730.0,Ficus,4.25,Ocupada,Regular,Bajo nivel,35,4
-58.3687274271626,-34.6160083723086,74699,1,Paseo Colón Av.,700.0,728.0,Ficus,4.25,Ocupada,Ochava,Bajo nivel,26,4
-58.3687274271626,-34.6160083723086,74700,1,Paseo Colón Av.,700.0,728.0,Ficus,4.25,Ocupada,Regular,Bajo nivel,10,3
-58.3689075310936,-34.6143689359172,76856,1,Paseo Colón Av.,600.0,568.0,Platanus,4.4,Ocupada,Regular,A nivel,48,18
-58.3689075310936,-34.6143689359172,76859,1,Paseo Colón Av.,600.0,568.0,Platanus,4.4,Ocupada,Regular,A nivel,73,18
-58.369088741529104,-34.6136452501378,76913,1,Paseo Colón Av.,600.0,502.0,Platanus,4.4,Ocupada,Regular,A nivel,70,18
-58.3689075310936,-34.6143689359172,76797,1,Paseo Colón Av.,600.0,568.0,Platanus,4.4,Ocupada,Regular,A nivel,61,20
-58.3688912492622,-34.6145402500525,76805,1,Paseo Colón Av.,600.0,588.0,Platanus,4.4,Ocupada,Regular,A nivel,95,24
-58.3689075310936,-34.6143689359172,76852,1,Paseo Colón Av.,600.0,568.0,Platanus,4.4,Ocupada,Regular,A nivel,61,20
-58.3689075310936,-34.6143689359172,76853,1,Paseo Colón Av.,600.0,568.0,Platanus,4.4,Ocupada,Regular,A nivel,59,18
-58.3690051573392,-34.6133548163745,79193,1,Paseo Colón Av.,500.0,492.0,Platanus,4.4,Ocupada,Regular,A nivel,1,24
-58.36872361197929,-34.61821071613,80135,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,A nivel,37,9
-58.36872361197929,-34.61821071613,80136,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,30,11
-58.36872361197929,-34.61821071613,80137,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,39,9
-58.36872361197929,-34.61821071613,80138,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,A nivel,39,9
-58.36872361197929,-34.61821071613,80139,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,42,10
-58.36872361197929,-34.61821071613,80140,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,A nivel,26,10
-58.36872361197929,-34.61821071613,80141,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,21,7
-58.36872361197929,-34.61821071613,80142,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,34,9
-58.36872361197929,-34.61821071613,80143,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,A nivel,30,10
-58.36872361197929,-34.61821071613,80144,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,36,8
-58.36872361197929,-34.61821071613,80145,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,31,9
-58.36872361197929,-34.61821071613,80146,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,A nivel,41,9
-58.36872361197929,-34.61821071613,80147,1,Paseo Colón Av.,800.0,898.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,33,10
-58.368214592606,-34.6214260327185,98369,1,Paseo Colón Av.,1100.0,1196.0,Platanus,3.2,Ocupada,Regular,A nivel,70,17
-58.368214592606,-34.6214260327185,98370,1,Paseo Colón Av.,1100.0,1196.0,Platanus,3.2,Ocupada,Regular,A nivel,64,17
-58.3682637902766,-34.6209642069744,98371,1,Paseo Colón Av.,1100.0,1160.0,Platanus,3.2,Ocupada,Regular,A nivel,77,17
-58.3682637902766,-34.6209642069744,98375,1,Paseo Colón Av.,1100.0,1160.0,Platanus,3.2,Ocupada,Regular,A nivel,63,19
-58.3682637902766,-34.6209642069744,98372,1,Paseo Colón Av.,1100.0,1160.0,Platanus,3.2,Ocupada,Regular,A nivel,73,18
-58.367886148302,-34.624677021882896,410172,1,Paseo Colón Av.,1400.0,1452.0,Jacaranda,6,Ocupada,Regular,A nivel,9,5
-58.367886148302,-34.624677021882896,410173,1,Paseo Colón Av.,1400.0,1452.0,Jacaranda,6,Ocupada,Regular,A nivel,16,6
-58.367886148302,-34.624677021882896,410174,1,Paseo Colón Av.,1400.0,1452.0,Jacaranda,6,Ocupada,Regular,A nivel,9,4
-58.3678702800424,-34.6248530859434,408608,1,Paseo Colón Av.,1400.0,1458.0,Jacaranda,6,Ocupada,Regular,A nivel,3,2
