long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.386208855370704,-34.626091379994605,419556,1,Pavón Av.,1400.0,1435.0,Ficus,2.8,Ocupada,Regular,Bajo nivel,4,2
-58.3863507993921,-34.626097016917704,419557,1,Pavón Av.,1400.0,1439.0,Platanus,2.8,Ocupada,Regular,Bajo nivel,42,22
-58.386590157898,-34.6261065167297,419558,1,Pavón Av.,1400.0,1467.0,Platanus,2.8,Ocupada,Regular,Bajo nivel,45,20
-58.3867904123903,-34.6261144640029,419559,1,Pavón Av.,1400.0,1479.0,Platanus,2.8,Ocupada,Regular,Bajo nivel,48,21
-58.38524057412421,-34.6260523064598,420254,1,Pavón Av.,1300.0,1367.0,Platanus,2.6,Ocupada,Regular,Bajo nivel,64,16
-58.38329885734379,-34.6260458145306,420263,1,Pavón Av.,1200.0,1228.0,Platanus,2.6,Ocupada,Regular,Elevada,16,10
-58.383125210563705,-34.6259608295264,419823,1,Pavón Av.,1200.0,1215.0,Platanus,3,Ocupada,Regular,A nivel,40,16
-58.383125210563705,-34.6259608295264,419824,1,Pavón Av.,1200.0,1215.0,Platanus,3,Ocupada,Regular,Bajo nivel,55,15
-58.383671826717205,-34.625983827511604,419826,1,Pavón Av.,1200.0,1263.0,Platanus,3,Ocupada,Regular,A nivel,76,22
-58.3870045398563,-34.6261977687136,420518,1,Pavón Av.,1400.0,1490.0,Platanus,2.6,Ocupada,Regular,A nivel,78,15
-58.3870045398563,-34.6261977687136,420519,1,Pavón Av.,1400.0,1488.0,Platanus,2.8,Ocupada,Regular,A nivel,64,16
-58.386768383868706,-34.6261885586273,420520,1,Pavón Av.,1400.0,1476.0,Platanus,2.8,Ocupada,Regular,A nivel,50,16
-58.3865470839149,-34.6261797759785,420521,1,Pavón Av.,1400.0,1460.0,Platanus,2.8,Ocupada,Regular,A nivel,57,16
-58.3862512316049,-34.6261680335517,420522,1,Pavón Av.,1400.0,1440.0,Platanus,2.8,Ocupada,Regular,A nivel,63,16
-58.3861661297983,-34.626164654156,420524,1,Pavón Av.,1400.0,1432.0,Platanus,2.8,Ocupada,Regular,A nivel,48,16
-58.3898126655886,-34.626190702491,420302,1,Pavón Av.,1700.0,1715.0,Ficus,2.4,Sobreocupada,Regular,A nivel,29,12
-58.390497099418496,-34.6262395911086,420306,1,Pavón Av.,1700.0,1779.0,Ficus,2.8,Ocupada,Regular,Bajo nivel,25,9
-58.3907090658745,-34.6263259643154,420534,1,Pavón Av.,1700.0,1784.0,Lagerstroemia,2.4,Ocupada,Regular,A nivel,5,3
-58.3907090658745,-34.6263259643154,420535,1,Pavón Av.,1700.0,1784.0,Lagerstroemia,2.8,Ocupada,Regular,A nivel,5,3
-58.3854339366907,-34.6260604440223,420342,1,Pavón Av.,1300.0,1377.0,Platanus,2.8,Ocupada,Regular,A nivel,47,15
-58.3836665576721,-34.6260612846491,420350,1,Pavón Av.,1200.0,1254.0,Platanus,2.6,Ocupada,Regular,A nivel,69,19
-58.3898126655886,-34.626190702491,420390,1,Pavón Av.,1700.0,1715.0,Ficus,2.4,Ocupada,Regular,A nivel,28,13
-58.389407451748895,-34.6261547912573,419476,1,Pavón Av.,1600.0,1695.0,Lagerstroemia,3.2,Ocupada,Regular,A nivel,2,2
-58.383125210563705,-34.6259608295264,419931,1,Pavón Av.,1200.0,1203.0,Platanus,3,Ocupada,Regular,Bajo nivel,70,20
-58.383125210563705,-34.6259608295264,419932,1,Pavón Av.,1200.0,1215.0,Platanus,3,Ocupada,Regular,Bajo nivel,39,16
-58.390497099418496,-34.6262395911086,420393,1,Pavón Av.,1700.0,1779.0,Ficus,2.8,Ocupada,Regular,A nivel,39,18
-58.3859317815252,-34.626080238658105,419494,1,Pavón Av.,1400.0,1409.0,Platanus,2.8,Ocupada,Regular,Bajo nivel,48,18
-58.386097239349205,-34.626086950458,419495,1,Pavón Av.,1400.0,1425.0,Platanus,2.8,Ocupada,Regular,A nivel,25,15
-58.4223472329009,-34.6308962261853,419496,1,Pavón Av.,1400.0,4135.0,Platanus,2.8,Ocupada,Regular,Bajo nivel,54,17
-58.3864820533959,-34.6261022269351,419497,1,Pavón Av.,1400.0,1453.0,Platanus,2.8,Ocupada,Regular,A nivel,55,20
-58.3856001724188,-34.626140162539805,419498,1,Pavón Av.,1400.0,1400.0,Platanus,2.8,Ocupada,Regular,Bajo nivel,50,20
-58.3870045398563,-34.6261977687136,420428,1,Pavón Av.,1400.0,1490.0,Platanus,3.2,Ocupada,Regular,A nivel,56,17
-58.386768383868706,-34.6261885586273,420429,1,Pavón Av.,1400.0,1476.0,Platanus,3.2,Ocupada,Regular,A nivel,75,17
-58.3866099019812,-34.6261822694015,420430,1,Pavón Av.,1400.0,1468.0,Platanus,3.2,Ocupada,Regular,A nivel,64,17
-58.386484265852395,-34.6261772825233,420431,1,Pavón Av.,1400.0,1452.0,Platanus,3.2,Ocupada,Regular,A nivel,64,17
-58.3862512316049,-34.6261680335517,420432,1,Pavón Av.,1400.0,1440.0,Platanus,3.2,Ocupada,Regular,A nivel,37,15
-58.385876693618705,-34.6261529074364,420434,1,Pavón Av.,1400.0,1408.0,Platanus,3.2,Ocupada,Ochava,A nivel,57,17
-58.3907090658745,-34.6263259643154,420445,1,Pavón Av.,1700.0,1784.0,Lagerstroemia,2.3,Ocupada,Regular,A nivel,5,3
-58.3907090658745,-34.6263259643154,420446,1,Pavón Av.,1700.0,1784.0,Lagerstroemia,2.3,Ocupada,Regular,A nivel,5,2
-58.38900523436739,-34.6261529654877,419539,1,Pavón Av.,1600.0,1653.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,14,3
-58.4105308818146,-34.6288205622966,36158,3,Pavón Av.,3200.0,3231.0,Lagerstroemia,2.2,Ocupada,Regular,Elevada,18,5
-58.4101655734062,-34.6287268866672,36865,3,Pavón Av.,3200.0,3207.0,Ficus,2.2,Ocupada,Regular,A nivel,28,5
-58.399103251708496,-34.627258979112,38605,3,Pavón Av.,2400.0,2420.0,Tilia,3,Ocupada,NA,NA,42,12
-58.3998079497909,-34.627336070686695,38617,3,Pavón Av.,2400.0,2486.0,Ficus,3,Ocupada,Regular,A nivel,58,8
-58.411650481642894,-34.6290982513338,39179,3,Pavón Av.,3200.0,3297.0,Melia,2.4,Ocupada,Regular,A nivel,59,12
-58.4071849388262,-34.628117165873604,38727,3,Pavón Av.,3000.0,3019.0,Lagerstroemia,2.5,Ocupada,Regular,A nivel,14,3
-58.4082662638954,-34.6282490126811,38735,3,Pavón Av.,3000.0,3085.0,Ficus,2.5,Ocupada,Regular,A nivel,10,2
-58.40633941201581,-34.628031936205694,39097,3,Pavón Av.,2900.0,2981.0,Ficus,3,Ocupada,Regular,A nivel,20,6
-58.3939599658916,-34.626671254039195,40974,3,Pavón Av.,2000.0,2054.0,Tilia,2.51,Ocupada,Regular,Elevada,20,8
-58.3984519727748,-34.6271747967292,41607,3,Pavón Av.,2300.0,2384.0,Jacaranda,3,Ocupada,Regular,A nivel,19,9
-58.3974236465639,-34.6270246853039,41611,3,Pavón Av.,2300.0,2316.0,Lagerstroemia,3,Ocupada,Regular,A nivel,2,2
-58.3984280499536,-34.6270667767847,40600,3,Pavón Av.,2300.0,2387.0,Jacaranda,3.08,Ocupada,Regular,A nivel,2,2
-58.39603669779079,-34.6267945345245,43588,3,Pavón Av.,2200.0,2229.0,Tilia,2.74,Ocupada,Regular,A nivel,28,8
-58.3959430202259,-34.626785607302,43590,3,Pavón Av.,2200.0,2221.0,Lagerstroemia,2.74,Ocupada,Regular,Bajo nivel,3,3
-58.3965077617062,-34.626839423287,42860,3,Pavón Av.,2200.0,2271.0,Ficus,2.7800000000000002,Ocupada,Regular,Bajo nivel,13,2
-58.39581479363339,-34.626854220135,44684,3,Pavón Av.,2200.0,2214.0,Jacaranda,3,Ocupada,Regular,A nivel,12,11
-58.396768608912,-34.6269451437503,44685,3,Pavón Av.,2200.0,2286.0,Jacaranda,3,Ocupada,Regular,A nivel,12,9
-58.3965795755832,-34.626927098604305,44692,3,Pavón Av.,2200.0,2274.0,Ficus,3,Ocupada,Regular,A nivel,52,10
-58.396673462443104,-34.626936045156604,44695,3,Pavón Av.,2200.0,2276.0,Ficus,3,Ocupada,Regular,A nivel,14,9
-58.3930694137733,-34.626581927075804,44891,3,Pavón Av.,1900.0,1984.0,Melia,3,Ocupada,Regular,A nivel,29,12
