long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4878515458621,-34.5442360441981,383994,4,Paz Gral. Av.,2200,2281,Lagerstroemia,3,Ocupada,Regular,A nivel,10,3
-58.476384914952405,-34.6929816360952,394734,8,Paz Gral. Av.,16200.0,16218,Lagerstroemia,3.2,Sobreocupada,Regular,Elevada,12,4
-58.476384914952405,-34.6929816360952,394735,8,Paz Gral. Av.,16200.0,16218,Lagerstroemia,3.2,Sobreocupada,Regular,A nivel,11,4
-58.4765373160532,-34.6928663275679,394736,8,Paz Gral. Av.,16200.0,16208,Tilia,2.4,Ocupada,Regular,A nivel,19,4
-58.4772456997793,-34.6930502197708,394737,8,Paz Gral. Av.,16200.0,16209,Tilia,4,Ocupada,Ochava,A nivel,41,12
-58.4777521506446,-34.69194987850361,396588,8,Paz Gral. Av.,16100.0,16106,Lagerstroemia,2.4,Ocupada,Ochava,A nivel,14,5
-58.4777521506446,-34.69194987850361,396589,8,Paz Gral. Av.,160100.0,16106,Lagerstroemia,2.4,Ocupada,Ochava,A nivel,12,3
-58.4811804272214,-34.6893626902616,398741,8,Paz Gral. Av.,15800.0,15812,Ficus,2.8,Ocupada,Regular,A nivel,32,4
-58.4811804272214,-34.6893626902616,398742,8,Paz Gral. Av.,15800.0,15812,Ficus,2.8,Ocupada,Regular,A nivel,25,3
-58.4817984803232,-34.6888654618749,388799,8,Paz Gral. Av.,15744.0,15774,Jacaranda,4,Sobreocupada,Regular,A nivel,50,8
-58.4777521506446,-34.69194987850361,400522,8,Paz Gral. Av.,16100.0,16106,Lagerstroemia,3,Ocupada,Regular,A nivel,6,3
-58.4777521506446,-34.69194987850361,400523,8,Paz Gral. Av.,16100.0,16106,Lagerstroemia,3,Ocupada,Ochava,A nivel,15,5
-58.528455159495294,-34.6486928017703,229280,9,Paz Gral. Av.,11300,11394,Ficus,2.8,Ocupada,Ochava,Bajo nivel,68,5
-58.528903242837295,-34.6416188468183,227297,9,Paz Gral. Av.,10700,10798,Ficus,3,Ocupada,Ochava,Bajo nivel,5,2
-58.5284603820014,-34.6486075760462,229360,9,Paz Gral. Av.,11300,11388,Ficus,2.8,Ocupada,Regular,A nivel,63,9
-58.52802862582129,-34.6530530609352,226830,9,Paz Gral. Av.,11700,11768,Lagerstroemia,2.5,Ocupada,Regular,Elevada,15,3
-58.528129428794,-34.652916359600894,226834,9,Paz Gral. Av.,11700,11746,Lagerstroemia,2.5,Sobreocupada,Regular,Elevada,13,3
-58.528129428794,-34.652916359600894,226841,9,Paz Gral. Av.,11700,11746,Lagerstroemia,2.5,Sobreocupada,Regular,Elevada,9,2
-58.5284603820014,-34.6486075760462,229390,9,Paz Gral. Av.,11300,11388,Jacaranda,2.8,Sobreocupada,Regular,A nivel,50,8
-58.5285035049086,-34.647903849433,229669,9,Paz Gral. Av.,11300,11314,Ficus,2.8,Ocupada,Regular,A nivel,33,4
-58.528129428794,-34.652916359600894,226845,9,Paz Gral. Av.,11700,11746,Lagerstroemia,2.5,Sobreocupada,Regular,Elevada,9,3
-58.52823514542621,-34.6524031461827,245755,9,Paz Gral. Av.,11500,11694,Ficus,2.8,Ocupada,Regular,A nivel,47,6
-58.5282954548489,-34.6513733134517,245921,9,Paz Gral. Av.,11500,11590,Tilia,2.8,Ocupada,Regular,A nivel,32,7
-58.528300031777,-34.651295157578694,245962,9,Paz Gral. Av.,11500,11586,Ficus,2.8,Ocupada,Regular,A nivel,23,2
-58.525234317779294,-34.6560753951417,233949,9,Paz Gral. Av.,1200,12074,Ficus,3.2,Ocupada,Regular,A nivel,51,5
-58.528398699749495,-34.6495645460682,235461,9,Paz Gral. Av.,11400,11460,Tilia,3,Ocupada,Regular,A nivel,14,8
-58.525234317779294,-34.6560753951417,233975,9,Paz Gral. Av.,12000,12076,Ficus,3.2,Sobreocupada,Regular,A nivel,38,8
-58.5284342543163,-34.6490199492376,235244,9,Paz Gral. Av.,11400,11410,Lagerstroemia,3,Ocupada,Regular,A nivel,2,2
-58.526791253327,-34.6545452871485,235490,9,Paz Gral. Av.,11900,11904,Ficus,7,Ocupada,Ochava,A nivel,43,12
-58.5284342543163,-34.6490199492376,235271,9,Paz Gral. Av.,11400,11410,Lagerstroemia,3,Ocupada,Regular,A nivel,4,5
-58.5284342543163,-34.6490199492376,235316,9,Paz Gral. Av.,11400,11410,Lagerstroemia,3,Ocupada,Regular,A nivel,14,4
-58.5284342543163,-34.6490199492376,235340,9,Paz Gral. Av.,11400,11410,Lagerstroemia,3,Ocupada,Regular,A nivel,2,4
-58.5283536836952,-34.6503421688722,237575,9,Paz Gral. Av.,11500,11512,Ficus,3,Ocupada,Regular,A nivel,54,8
-58.5285618721179,-34.6469100246615,266244,9,Paz Gral. Av.,11290,11260,Ficus,3.4,Ocupada,Regular,A nivel,30,6
-58.5285763140106,-34.6466462303607,266245,9,Paz Gral. Av.,11290,11234,Tilia,3,Ocupada,Regular,A nivel,19,6
-58.5112575571055,-34.6666463091055,265174,9,Paz Gral. Av.,13100,13194,Lagerstroemia,2.6,Ocupada,Fuera de línea,A nivel,5,2
-58.5116699757234,-34.666344040525196,265175,9,Paz Gral. Av.,13100,13160,Lagerstroemia,2.6,Ocupada,Fuera de línea,A nivel,15,3
-58.5123716296891,-34.6658195066864,265179,9,Paz Gral. Av.,13100,13108,Ficus,3.6,Ocupada,Ochava,A nivel,8,2
-58.51369174801479,-34.6648269548164,264645,9,Paz Gral. Av.,13000,13020,Lagerstroemia,2.2,Sobreocupada,Regular,Elevada,8,2
-58.516658535805,-34.6625586497331,275306,9,Paz Gral. Av.,12700,12752,Lagerstroemia,2.4,Ocupada,Ochava,A nivel,12,3
-58.52862246354201,-34.6456996014863,276500,9,Paz Gral. Av.,11100,11176,Ficus,1.8,Ocupada,Regular,A nivel,36,7
-58.5286153868955,-34.64581597453,276502,9,Paz Gral. Av.,11100,11194,Ficus,1.8,Ocupada,Regular,A nivel,26,7
-58.518165248316706,-34.6614115494014,316856,9,Paz Gral. Av.,12600.0,12678,Ficus,2.4,Ocupada,Regular,A nivel,66,8
-58.518093486388395,-34.6614653782265,316857,9,Paz Gral. Av.,12600.0,12688,Lagerstroemia,2.4,Ocupada,Regular,Elevada,10,4
-58.5108408045235,-34.6669784401182,534271,9,Paz Gral. Av.,13200.0,13218,Ficus,3.2,Ocupada,Regular,A nivel,21,4
-58.5109092432518,-34.666926012176496,534273,9,Paz Gral. Av.,13200.0,13212,Ficus,3.2,Ocupada,Regular,A nivel,70,5
-58.509004343046705,-34.668369119975196,534289,9,Paz Gral. Av.,13300.0,13382,Ficus,2.8,Ocupada,Regular,A nivel,96,6
-58.50942647361361,-34.668056671809104,534293,9,Paz Gral. Av.,13300.0,13320,Ficus,2.8,Ocupada,Regular,A nivel,15,3
-58.50942647361361,-34.668056671809104,534294,9,Paz Gral. Av.,13300.0,13320,Ficus,2.8,Ocupada,Regular,A nivel,17,3
-58.508292395128095,-34.6689155608855,534323,9,Paz Gral. Av.,13400.0,13480,Melia,2.8,Ocupada,Regular,A nivel,11,2
-58.507109446155006,-34.6697952506425,534350,9,Paz Gral. Av.,13500.0,13594,Ficus,2.2,Ocupada,Regular,Elevada,29,4
-58.5072005252569,-34.6697282327959,534351,9,Paz Gral. Av.,13500.0,13582,Jacaranda,2.2,Ocupada,Regular,A nivel,6,3
-58.5072005252569,-34.6697282327959,534352,9,Paz Gral. Av.,13500.0,13582,Ficus,2.2,Ocupada,Regular,A nivel,64,10
-58.50746798434749,-34.6695314299405,534354,9,Paz Gral. Av.,13500.0,13550,Melia,2.2,Ocupada,Regular,A nivel,59,7
-58.5067755288165,-34.6700464618955,534391,9,Paz Gral. Av.,13600.0,13618,Melia,2.8,Ocupada,Regular,A nivel,34,8
-58.5067755288165,-34.6700464618955,534392,9,Paz Gral. Av.,13600.0,13618,Melia,2.8,Ocupada,Regular,A nivel,34,10
-58.5068603119158,-34.6699818910577,534393,9,Paz Gral. Av.,13600.0,13610,Melia,2.8,Ocupada,Regular,A nivel,40,10
-58.5052916988459,-34.6711557512031,534404,9,Paz Gral. Av.,13700.0,13790,Ficus,2.2,Ocupada,Regular,Elevada,51,5
-58.5052916988459,-34.6711557512031,534405,9,Paz Gral. Av.,13700.0,13790,Ficus,2.2,Ocupada,Regular,Elevada,34,5
-58.505641314580096,-34.670899575048196,534408,9,Paz Gral. Av.,13700.0,13738,Lagerstroemia,2.2,Ocupada,Fuera de línea,Elevada,21,4
-58.505641314580096,-34.670899575048196,534409,9,Paz Gral. Av.,13700.0,13738,Lagerstroemia,2.2,Ocupada,Fuera de línea,Elevada,13,3
-58.524704878925895,-34.603467424568,534420,9,Paz Gral. Av.,7400.0,7464,Melia,4.2,Ocupada,Regular,A Nivel,92,11
-58.5246454604198,-34.603341780959504,534423,9,Paz Gral. Av.,7400.0,7422,Jacaranda,4.2,Ocupada,Regular,A Nivel,7,3
-58.5246454604198,-34.603341780959504,534425,9,Paz Gral. Av.,7400.0,7422,Lagerstroemia,4.2,Ocupada,Ochava,Elevada,4,2
-58.494293993712205,-34.5471688568862,534426,9,Paz Gral. Av.,2900.0,2907,Lagerstroemia,4.4,Ocupada,Ochava,Elevada,4,2
-58.494391500134,-34.5472115691744,534428,9,Paz Gral. Av.,2900.0,2917,Lagerstroemia,4.4,Ocupada,Regular,A Nivel,4,2
-58.49446950534339,-34.5472457389576,534430,9,Paz Gral. Av.,2900.0,2925,Tilia,4.4,Ocupada,Regular,A Nivel,9,3
-58.525270545311606,-34.6032155790177,534439,9,Paz Gral. Av.,7400.0,7419,Ficus,4.40000000000001,Ocupada,Regular,A Nivel,22,6
-58.5255747701029,-34.6038694835903,534443,9,Paz Gral. Av.,7400.0,7485,Ficus,4.40000000000001,Ocupada,Regular,A Nivel,9,2
-58.525629557494895,-34.603988545475694,534445,9,Paz Gral. Av.,7400.0,7497,Ficus,4.40000000000001,Ocupada,Regular,A Nivel,8,2
-58.5039386630433,-34.6721807302572,534446,9,Paz Gral. Av.,13800.0,13900,Lagerstroemia,2.4,Ocupada,Regular,A  Nivel,17,5
-58.5047880815802,-34.671536239749194,534454,9,Paz Gral. Av.,13800.0,13826,Ficus,2.4,Ocupada,Regular,A  Nivel,50,5
-58.5040559964387,-34.672907224018005,534495,9,Paz Gral. Av.,13900.0,13935,Ficus,2.4,Ocupada,Regular,A Nivel,11,3
-58.5299377737582,-34.6239852703024,269114,10,Paz Gral. Av.,9100.0,9180,Lagerstroemia,2.8,Ocupada,Regular,A nivel,12,4
-58.529919663420294,-34.624252174327005,269112,10,Paz Gral. Av.,9100.0,9196,Lagerstroemia,2.8,Ocupada,Regular,A nivel,9,3
-58.529919663420294,-34.624252174327005,269113,10,Paz Gral. Av.,9100.0,9196,Lagerstroemia,2.8,Ocupada,Regular,A nivel,12,4
