long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.441286499646104,-34.6302922799518,308313,7,Perón Eva Av.,1100.0,1115.0,Tilia,3.6,Ocupada,Regular,Bajo nivel,11,4
-58.441405171094296,-34.630379253979605,308314,7,Perón Eva Av.,1100.0,1125.0,Melia,3.6,Ocupada,Regular,Bajo nivel,67,14
-58.4436950119384,-34.632064278680204,327119,7,Perón Eva Av.,1300.0,1311,Ficus,3.2,Sobreocupada,Regular,Elevada,32,6
-58.443772139831,-34.63212079904061,327121,7,Perón Eva Av.,1300.0,1315,Melia,3.2,Ocupada,Regular,A nivel,60,10
-58.4439838820455,-34.6322759659716,327125,7,Perón Eva Av.,1300.0,1337,Melia,3.2,Ocupada,Regular,A nivel,50,12
-58.444266785947896,-34.6324832794425,327129,7,Perón Eva Av.,1300.0,1375,Melia,3.2,Sobreocupada,Regular,A nivel,40,11
-58.4449943317812,-34.6330163918918,327041,7,Perón Eva Av.,1400.0,1449,Melia,3.2,Ocupada,Regular,A nivel,60,12
-58.444918787498295,-34.6329610277109,327042,7,Perón Eva Av.,1400.0,1447,Ficus,3.2,Sobreocupada,Regular,Elevada,10,2
-58.4590845652384,-34.6420889843565,346703,7,Perón Eva Av.,2900.0,2935,Platanus,6,Ocupada,Regular,A nivel,69,13
-58.4590845652384,-34.6420889843565,346704,7,Perón Eva Av.,2900.0,2941,Platanus,6,Ocupada,Regular,A nivel,63,15
-58.4591669001747,-34.6421273805445,346706,7,Perón Eva Av.,2900.0,2949,Ficus,6,Ocupada,Ochava,A nivel,26,6
-58.45825513567579,-34.6417022522094,346720,7,Perón Eva Av.,2800.0,2805,Platanus,6,Ocupada,Ochava,A nivel,61,12
-58.4585302851433,-34.6418305725272,346723,7,Perón Eva Av.,2800.0,2871,Platanus,6,Ocupada,Regular,A nivel,68,13
-58.4585302851433,-34.6418305725272,346724,7,Perón Eva Av.,2800.0,2873,Platanus,6,Ocupada,Regular,A nivel,54,13
