long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.472172009328204,-34.689915310059,384047,8,Piedrabuena Av.,5100.0,5160,Tilia,4.4,Sobreocupada,Regular,A nivel,22,11
-58.4722416609937,-34.689862573711,384048,8,Piedrabuena Av.,5100.0,5152,Lagerstroemia,4.4,Ocupada,Regular,A nivel,9,4
-58.47231107890801,-34.6898100142504,384049,8,Piedrabuena Av.,5100.0,5150,Ficus,4.4,Ocupada,Regular,Elevada,21,7
-58.4668020628973,-34.6940852473716,383071,8,Piedrabuena Av.,5600.0,5623,Tilia,4.4,Ocupada,Regular,A nivel,33,9
-58.4768891188349,-34.686431160355,384116,8,Piedrabuena Av.,4700.0,4773,Lagerstroemia,4.4,Ocupada,Regular,Elevada,17,5
-58.4785944299136,-34.6850648829108,384171,8,Piedrabuena Av.,4600.0,4624,Jacaranda,4.4,Sobreocupada,Regular,Elevada,15,4
-58.478383174039706,-34.6852240542703,384174,8,Piedrabuena Av.,4600.0,4640,Jacaranda,4.4,Ocupada,Regular,A nivel,40,10
-58.4782441967935,-34.6853287665496,384176,8,Piedrabuena Av.,4600.0,4654,Tilia,4.4,Ocupada,Regular,Elevada,26,8
-58.473326728516,-34.6891455947592,373261,8,Piedrabuena Av.,5000.0,5073,Tilia,4.4,Ocupada,Regular,Elevada,39,9
-58.4724435406777,-34.6898168299229,373311,8,Piedrabuena Av.,5100.0,5151,Ficus,4.4,Sobreocupada,Regular,Elevada,45,6
-58.4723556295204,-34.689883391634304,373312,8,Piedrabuena Av.,5100.0,5157,Lagerstroemia,4.4,Ocupada,Regular,A nivel,18,4
-58.4722330075984,-34.6899762342141,373313,8,Piedrabuena Av.,5100.0,5169,Jacaranda,4.4,Ocupada,Regular,A nivel,33,9
-58.47209338128489,-34.6900819511767,373316,8,Piedrabuena Av.,5100.0,5183,Lagerstroemia,4.4,Ocupada,Regular,Elevada,36,7
-58.47156982959579,-34.6903716445677,379066,8,Piedrabuena Av.,5200.0,5202,Ficus,4.4,Ocupada,Ochava,A nivel,39,5
-58.471331452898504,-34.6905521238254,379070,8,Piedrabuena Av.,5200.0,5230,Tilia,4.4,Ocupada,Regular,A nivel,29,7
-58.4731479532481,-34.6891788562138,377109,8,Piedrabuena Av.,5000.0,5090,Melia,4.4,Sobreocupada,Regular,A nivel,42,10
-58.47394360468329,-34.6885763624841,377119,8,Piedrabuena Av.,5000.0,5010,Jacaranda,4.4,Sobreocupada,Regular,A nivel,14,4
-58.4709830007812,-34.6908159409106,379078,8,Piedrabuena Av.,5200.0,5264,Lagerstroemia,4.4,Sobreocupada,Regular,A nivel,8,4
-58.4756907836581,-34.6872527954148,391996,8,Piedrabuena Av.,4800.0,4874,Lagerstroemia,4.5,Ocupada,Regular,A nivel,20,7
-58.47607841395389,-34.6869584887713,392002,8,Piedrabuena Av.,4800.0,4834,Lagerstroemia,4.5,Ocupada,Regular,A nivel,17,5
-58.476217356697795,-34.6868529962808,392003,8,Piedrabuena Av.,4800.0,4818,Melia,4.5,Ocupada,Regular,A nivel,49,9
-58.47637627839379,-34.6867466594452,392004,8,Piedrabuena Av.,4800.0,4802,Tilia,4.5,Ocupada,Regular,A nivel,19,8
-58.474241088607904,-34.6883518350567,392037,8,Piedrabuena Av.,4900.0,4988,Melia,4.5,Ocupada,Regular,A nivel,37,7
-58.474327659678295,-34.6882862797486,392038,8,Piedrabuena Av.,4900.0,4980,Lagerstroemia,4.5,Ocupada,Regular,Elevada,8,2
