long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4026579053768,-34.5956254308964,7450,2,Pueyrredón Av.,1300.0,1311.0,Platanus,4,Ocupada,Regular,A nivel,80,19
-58.4026579053768,-34.5956254308964,7451,2,Pueyrredón Av.,1300.0,1311.0,Ficus,4,Ocupada,Regular,Elevada,37,7
-58.4026579053768,-34.5956254308964,7452,2,Pueyrredón Av.,1300.0,1317.0,Platanus,4,Ocupada,Regular,Elevada,5,3
-58.4026059817321,-34.5954741620304,7454,2,Pueyrredón Av.,1300.0,1333.0,Platanus,4,Ocupada,Regular,Bajo nivel,72,20
-58.4025289431049,-34.5952497247112,7455,2,Pueyrredón Av.,1300.0,1351.0,Platanus,4,Ocupada,Regular,A nivel,90,20
-58.4012714897889,-34.5922957241631,7532,2,Pueyrredón Av.,1600.0,1627.0,Tilia,3.6,Ocupada,Regular,A nivel,12,6
-58.40116664737929,-34.5920674205694,7535,2,Pueyrredón Av.,1600.0,1657.0,Platanus,3.6,Ocupada,Regular,A nivel,51,17
-58.4011210405789,-34.5919681073018,7537,2,Pueyrredón Av.,1600.0,1665.0,Platanus,3.6,Ocupada,Regular,A nivel,37,8
-58.4024736217295,-34.5950885556952,7457,2,Pueyrredón Av.,1300.0,1361.0,Platanus,4,Ocupada,Regular,A nivel,54,5
-58.40134590824929,-34.5924577761313,7494,2,Pueyrredón Av.,1600.0,1607.0,Platanus,2.7,Ocupada,Regular,A nivel,62,15
-58.4024057372867,-34.5948907855294,7458,2,Pueyrredón Av.,1300.0,1375.0,Platanus,4,Ocupada,Regular,A nivel,58,19
-58.402343335181506,-34.594708986393,7460,2,Pueyrredón Av.,1300.0,1399.0,Platanus,4,Ocupada,Regular,A nivel,9,5
-58.4013060580118,-34.5923709992394,7301,2,Pueyrredón Av.,1600.0,1619.0,Platanus,3.6,Ocupada,Regular,A nivel,36,15
-58.4012714897889,-34.5922957241631,7302,2,Pueyrredón Av.,1600.0,1625.0,Tilia,3.6,Ocupada,Regular,A nivel,16,9
-58.400120965287,-34.5897135875217,7625,2,Pueyrredón Av.,1800.0,1854.0,Ficus,6.4,Ocupada,Regular,Elevada,20,7
-58.400120965287,-34.5897135875217,7627,2,Pueyrredón Av.,1800.0,1854.0,Ficus,6.4,Ocupada,Regular,Elevada,45,16
-58.40015666775211,-34.5897853137382,7629,2,Pueyrredón Av.,1800.0,1846.0,Platanus,6.4,Ocupada,Regular,Elevada,37,19
-58.4002102215646,-34.5898929030329,7631,2,Pueyrredón Av.,1800.0,1834.0,Platanus,6.4,Ocupada,Regular,A nivel,31,17
-58.4002548498579,-34.5899825607668,7632,2,Pueyrredón Av.,1800.0,1824.0,Platanus,6.4,Ocupada,Regular,A nivel,40,19
-58.4002727011977,-34.5900184238554,7641,2,Pueyrredón Av.,1800.0,1820.0,Ficus,6.4,Ocupada,Regular,Elevada,15,9
-58.400308403923205,-34.5900901500152,7647,2,Pueyrredón Av.,1800.0,1812.0,Platanus,6.4,Ocupada,Regular,A nivel,44,19
-58.3977592667876,-34.5875994753607,7917,2,Pueyrredón Av.,2100.0,2162.0,Platanus,3.2,Ocupada,Regular,A nivel,120,16
-58.3979728477403,-34.587750476999105,7921,2,Pueyrredón Av.,2100.0,2122.0,Platanus,3.2,Ocupada,Regular,A nivel,118,17
-58.4011210405789,-34.5919681073018,7541,2,Pueyrredón Av.,1600.0,1673.0,Platanus,3.6,Ocupada,Regular,A nivel,33,17
-58.4004908014816,-34.590232995440196,17624,2,Pueyrredón Av.,1700.0,1796.0,Platanus,4.8,Ocupada,Regular,A nivel,63,25
-58.40053355602779,-34.5903187806165,17625,2,Pueyrredón Av.,1700.0,1788.0,Platanus,4.8,Ocupada,Regular,A nivel,55,20
-58.4006125677359,-34.590477313768204,17629,2,Pueyrredón Av.,1700.0,1782.0,Jacaranda,7.8,Sobreocupada,Regular,Elevada,11,8
-58.4006125677359,-34.590477313768204,17631,2,Pueyrredón Av.,1700.0,1782.0,Ficus,4.4,Sobreocupada,Regular,Elevada,7,2
-58.4007122578269,-34.5906804770825,17638,2,Pueyrredón Av.,1700.0,1770.0,Platanus,4.8,Ocupada,Regular,A nivel,57,20
-58.4007711753815,-34.5908001700075,17643,2,Pueyrredón Av.,1700.0,1752.0,Ficus,4.6,Sobreocupada,Regular,Elevada,8,3
-58.400810459461205,-34.5908799766889,17646,2,Pueyrredón Av.,1700.0,1748.0,Platanus,4.4,Ocupada,Regular,Elevada,42,12
-58.4009255857271,-34.5911138578984,17652,2,Pueyrredón Av.,1700.0,1730.0,Ficus,4.4,Ocupada,Regular,Elevada,40,9
-58.4009672466737,-34.5911984925473,17654,2,Pueyrredón Av.,1700.0,1726.0,Platanus,4,Ocupada,Regular,Elevada,50,7
-58.4009672466737,-34.5911984925473,17657,2,Pueyrredón Av.,1700.0,1724.0,Platanus,4,Ocupada,Regular,Elevada,58,19
-58.4010067207281,-34.5912786843355,17660,2,Pueyrredón Av.,1700.0,1716.0,Platanus,4,Ocupada,Regular,Bajo nivel,69,20
-58.40105115125979,-34.5913689450223,17661,2,Pueyrredón Av.,1700.0,1706.0,Platanus,3.6,Ocupada,Regular,A nivel,50,18
