long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4455081057096,-34.6077951230452,31732,6,Pueyrredón Honorio Dr. Av.,1000.0,1096.0,Platanus,5.4,Ocupada,Regular,Bajo nivel,50,14
-58.4454248730388,-34.607902550608394,31744,6,Pueyrredón Honorio Dr. Av.,1000.0,1090.0,Ficus,5.4,Ocupada,Regular,A nivel,15,4
-58.445166035160106,-34.6082438001854,31746,6,Pueyrredón Honorio Dr. Av.,1000.0,1072.0,Platanus,5.4,Ocupada,Regular,A nivel,54,23
-58.4448094370102,-34.6088066699119,37172,6,Pueyrredón Honorio Dr. Av.,1000.0,1022.0,Tilia,5.2,Ocupada,Regular,A nivel,25,10
-58.44501142461989,-34.60853853380161,37262,6,Pueyrredón Honorio Dr. Av.,1000.0,1050.0,Platanus,5.2,Ocupada,Regular,Elevada,56,18
-58.4447598644233,-34.6088724766025,37263,6,Pueyrredón Honorio Dr. Av.,1000.0,1016.0,Lagerstroemia,5.2,Ocupada,Regular,A nivel,8,4
-58.444892983360994,-34.6081130703203,38245,6,Pueyrredón Honorio Dr. Av.,1000.0,1063.0,Ficus,5.2,Ocupada,Ochava,A nivel,33,3
-58.4448113247076,-34.6082220524327,38246,6,Pueyrredón Honorio Dr. Av.,1000.0,1061.0,Ficus,5.2,Ocupada,Regular,Elevada,26,7
-58.4444671937156,-34.6085986931701,38251,6,Pueyrredón Honorio Dr. Av.,1000.0,1025.0,Ficus,5.2,Ocupada,Regular,Elevada,35,12
-58.4443682721101,-34.6087307124439,38254,6,Pueyrredón Honorio Dr. Av.,1000.0,1011.0,Tilia,5.2,Ocupada,Regular,Elevada,25,10
-58.444026177888496,-34.6098214270485,38704,6,Pueyrredón Honorio Dr. Av.,900.0,920.0,Platanus,5.2,Ocupada,Regular,Bajo nivel,42,20
-58.4440788027629,-34.6097537532823,38707,6,Pueyrredón Honorio Dr. Av.,900.0,928.0,Platanus,5.2,Ocupada,Regular,Elevada,50,20
-58.4442340467321,-34.6095541141135,38712,6,Pueyrredón Honorio Dr. Av.,900.0,950.0,Platanus,5.2,Ocupada,Regular,Bajo nivel,67,21
-58.443981721813,-34.6098785959239,38715,6,Pueyrredón Honorio Dr. Av.,900.0,916.0,Platanus,5.2,Ocupada,Regular,A nivel,46,20
