long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.472546,-34.602307,207859,15,Punta Arenas  Av.,1800.0,1893,Platanus,3.2,Ocupada,Regular,A nivel,59,18
-58.472425,-34.601783,207640,15,Punta Arenas  Av.,1800.0,1843,Lagerstroemia,3.2,Ocupada,Regular,Elevada,5,4
-58.472443,-34.60186,207658,15,Punta Arenas  Av.,1800.0,1855,Ficus,3.2,Ocupada,Regular,Elevada,19,6
-58.47256,-34.602372,207887,15,Punta Arenas  Av.,1800.0,1899,Platanus,3.2,Ocupada,Ochava,A nivel,67,17
-58.472478,-34.602013,207716,15,Punta Arenas  Av.,1800.0,1869,Platanus,3.2,Ocupada,Regular,A nivel,50,17
-58.472478,-34.602013,207743,15,Punta Arenas  Av.,17.0,1869,Platanus,3.2,Ocupada,Regular,A nivel,70,17
-58.472513,-34.602167,207780,15,Punta Arenas  Av.,1800.0,1875,Platanus,3.2,Ocupada,Regular,Elevada,46,16
-58.472573,-34.603019,206990,15,Punta Arenas  Av.,1900.0,1938,Platanus,3.2,Ocupada,Regular,A nivel,66,17
-58.472548,-34.602898,206998,15,Punta Arenas  Av.,1900.0,1930,Platanus,3.2,Ocupada,Regular,A nivel,86,13
-58.472738,-34.603792,205922,15,Punta Arenas  Av.,2000.0,2004,Platanus,3.2,Ocupada,Ochava,A nivel,70,10
-58.472537,-34.602847,207023,15,Punta Arenas  Av.,1900.0,1926,Platanus,3.2,Ocupada,Regular,A nivel,50,16
-58.472785,-34.604013,205978,15,Punta Arenas  Av.,2000.0,2026,Platanus,4,Ocupada,Regular,A nivel,73,10
-58.472818,-34.604168,206015,15,Punta Arenas  Av.,2000.0,2084,Platanus,3.6,Ocupada,Regular,A nivel,57,10
-58.472666,-34.603462,206839,15,Punta Arenas  Av.,1900.0,1986,Platanus,3.2,Ocupada,Ochava,Elevada,62,16
-58.472833,-34.604242,206032,15,Punta Arenas  Av.,2000.0,2088,Platanus,3.2,Ocupada,Regular,A nivel,56,9
-58.472833,-34.604242,206051,15,Punta Arenas  Av.,2000.0,2088,Platanus,3.6,Ocupada,Regular,A nivel,65,10
-58.47265,-34.603385,206889,15,Punta Arenas  Av.,1900.0,1974,Platanus,3.2,Ocupada,Regular,A nivel,54,10
-58.47265,-34.603385,206890,15,Punta Arenas  Av.,1900.0,1976,Platanus,3.2,Ocupada,Regular,A nivel,67,16
-58.472634,-34.603308,206933,15,Punta Arenas  Av.,1900.0,1962,Platanus,3.2,Ocupada,Regular,A nivel,48,16
-58.472618,-34.603232,206934,15,Punta Arenas  Av.,1900.0,1956,Platanus,3.2,Ocupada,Regular,A nivel,68,12
-58.472585,-34.603077,206965,15,Punta Arenas  Av.,1900.0,1944,Platanus,3.2,Ocupada,Regular,A nivel,65,15
-58.471758,-34.599781,211819,15,Punta Arenas  Av.,1600.0,1629,Lagerstroemia,4.4,Ocupada,Regular,A nivel,1,2
-58.47043,-34.595149,240000,15,Punta Arenas  Av.,1400.0,1492,Platanus,6.4,Ocupada,Regular,A nivel,49,13
-58.47043,-34.595149,240011,15,Punta Arenas  Av.,1400.0,1492,Platanus,6.4,Sobreocupada,Regular,A nivel,51,12
-58.470389,-34.594997,240021,15,Punta Arenas  Av.,1400.0,1480,Platanus,6.4,Sobreocupada,Regular,A nivel,71,13
-58.470368,-34.59492,240044,15,Punta Arenas  Av.,1400.0,1474,Platanus,6.4,Ocupada,Regular,A nivel,66,13
-58.470348,-34.594844,240052,15,Punta Arenas  Av.,1400.0,1470,Platanus,6.4,Sobreocupada,Regular,A nivel,49,12
-58.470327,-34.594768,240074,15,Punta Arenas  Av.,1400.0,1464,Ficus,6.4,Sobreocupada,Regular,A nivel,7,3
-58.470308,-34.594697,240081,15,Punta Arenas  Av.,1400.0,1456,Ficus,6.4,Sobreocupada,Regular,A nivel,73,4
-58.470288,-34.594621,240099,15,Punta Arenas  Av.,1400.0,1450,Platanus,6.4,Ocupada,Regular,A nivel,45,12
-58.470308,-34.594697,240100,15,Punta Arenas  Av.,1400.0,1456,Platanus,6.4,Ocupada,Regular,A nivel,54,12
-58.470288,-34.594621,240116,15,Punta Arenas  Av.,1400.0,1450,Platanus,6.4,Ocupada,Regular,A nivel,63,13
-58.470288,-34.594621,240118,15,Punta Arenas  Av.,1400.0,1450,Melia,6.4,Sobreocupada,Regular,A nivel,49,12
-58.470143,-34.594083,241697,15,Punta Arenas  Av.,1400.0,1426,Platanus,7,Sobreocupada,Regular,A nivel,71,11
-58.470123,-34.594008,241701,15,Punta Arenas  Av.,1400.0,1420,Platanus,7,Sobreocupada,Regular,A nivel,45,12
-58.470123,-34.594008,241732,15,Punta Arenas  Av.,1400.0,1418.0,Ficus,7,Ocupada,Regular,A nivel,9,3
-58.470154,-34.594127,241760,15,Punta Arenas  Av.,1400.0,1428.0,Platanus,7,Ocupada,Regular,A nivel,60,12
