long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3861574660219,-34.591432819221204,50492,1,Quintana Manuel Presidente Av.,100.0,104.0,Tilia,3.6,Ocupada,Regular,Elevada,33,12
-58.3867658318024,-34.5909530392637,50493,1,Quintana Manuel Presidente Av.,100.0,188.0,Melia,3.6,Ocupada,Regular,A nivel,57,10
-58.3863581158434,-34.5912746538715,50504,1,Quintana Manuel Presidente Av.,100.0,134.0,Ficus,3.6,Ocupada,Regular,Elevada,80,19
-58.38550246381661,-34.5919526756457,69292,1,Quintana Manuel Presidente Av.,NA,70.0,Tilia,3.6,Ocupada,Regular,Elevada,30,16
-58.3856424107496,-34.5918418586096,69295,1,Quintana Manuel Presidente Av.,NA,80.0,Tilia,6.6,Ocupada,Regular,Elevada,23,12
-58.38575819616489,-34.591750173543,69299,1,Quintana Manuel Presidente Av.,NA,84.0,Tilia,3.6,Ocupada,Regular,A nivel,21,8
-58.38575819616489,-34.591750173543,69302,1,Quintana Manuel Presidente Av.,NA,88.0,Tilia,3.6,Ocupada,Regular,A nivel,20,8
-58.385885478776395,-34.5916493840052,69327,1,Quintana Manuel Presidente Av.,NA,90.0,Tilia,3.6,Ocupada,Regular,A nivel,21,9
-58.385885478776395,-34.5916493840052,69345,1,Quintana Manuel Presidente Av.,NA,96.0,Tilia,3.6,Ocupada,Regular,A nivel,40,11
-58.384982719186794,-34.592364231637,69213,1,Quintana Manuel Presidente Av.,NA,28.0,Tilia,3.6,Ocupada,Regular,Elevada,31,13
-58.385085665290795,-34.5922827150072,69220,1,Quintana Manuel Presidente Av.,NA,32.0,Tilia,3.6,Ocupada,Regular,Elevada,30,15
-58.385085665290795,-34.5922827150072,69222,1,Quintana Manuel Presidente Av.,NA,34.0,Tilia,3.6,Ocupada,Regular,Elevada,20,12
-58.3851769941317,-34.5922103971759,69225,1,Quintana Manuel Presidente Av.,NA,40.0,Tilia,3.6,Ocupada,Regular,Elevada,29,13
-58.3848867946779,-34.5923256799752,71808,1,Quintana Manuel Presidente Av.,NA,31.0,Tilia,3.6,Ocupada,Regular,Bajo nivel,38,18
-58.3845659835498,-34.5925797084138,71809,1,Quintana Manuel Presidente Av.,NA,7.0,Tilia,3.6,Ocupada,Regular,Bajo nivel,31,15
-58.3848867946779,-34.5923256799752,71811,1,Quintana Manuel Presidente Av.,NA,31.0,Tilia,3.6,Ocupada,NA,A nivel,29,13
-58.3853152735748,-34.5919863930379,71812,1,Quintana Manuel Presidente Av.,NA,49.0,Tilia,3.6,Ocupada,Regular,Elevada,10,5
-58.38558892472321,-34.5917697027202,71817,1,Quintana Manuel Presidente Av.,NA,71.0,Tilia,3.6,Ocupada,Regular,Elevada,28,14
-58.38558892472321,-34.5917697027202,71818,1,Quintana Manuel Presidente Av.,NA,75.0,Tilia,3.6,Ocupada,Regular,Elevada,28,14
-58.386416107120105,-34.5911729746164,71821,1,Quintana Manuel Presidente Av.,100.0,145.0,Tilia,3.2,Ocupada,Regular,Elevada,4,4
-58.385197490954894,-34.5920796584998,71822,1,Quintana Manuel Presidente Av.,NA,39.0,Tilia,3.6,Ocupada,Regular,Elevada,18,8
-58.385197490954894,-34.5920796584998,71824,1,Quintana Manuel Presidente Av.,NA,39.0,Tilia,3.6,Ocupada,Regular,Elevada,18,8
-58.3853703146955,-34.5920573175489,76055,1,Quintana Manuel Presidente Av.,NA,62.0,Tilia,3.6,Ocupada,Regular,Elevada,18,7
-58.384612406081295,-34.5926574575211,76062,1,Quintana Manuel Presidente Av.,NA,2.0,Tilia,3.6,Ocupada,Regular,Elevada,15,6
-58.384727320796,-34.5925664646843,76064,1,Quintana Manuel Presidente Av.,NA,10.0,Tilia,3.6,Ocupada,Regular,Elevada,26,12
-58.3865630108151,-34.5910570941735,161251,1,Quintana Manuel Presidente Av.,100.0,161.0,Tilia,3.2,Ocupada,Regular,A nivel,33,11
-58.3865630108151,-34.5910570941735,161252,1,Quintana Manuel Presidente Av.,100.0,161.0,Tilia,3.2,Ocupada,Regular,A nivel,32,12
-58.3865630108151,-34.5910570941735,161271,1,Quintana Manuel Presidente Av.,100.0,161.0,Tilia,3.2,Ocupada,Regular,A nivel,37,12
-58.3861406615938,-34.5913902499674,161272,1,Quintana Manuel Presidente Av.,100.0,115.0,Tilia,3.2,Ocupada,Regular,Elevada,29,10
-58.386103935412294,-34.5914192199659,161275,1,Quintana Manuel Presidente Av.,100.0,111.0,Tilia,3.2,Ocupada,Ochava,Elevada,26,11
-58.3860672382973,-34.591448215130704,161277,1,Quintana Manuel Presidente Av.,100.0,107.0,Tilia,3.2,Ocupada,Ochava,Elevada,23,10
-58.3868384541426,-34.5908398178545,161291,1,Quintana Manuel Presidente Av.,100.0,191.0,Melia,3.2,Ocupada,Regular,A nivel,31,9
-58.38782356997889,-34.5901138063258,17731,2,Quintana Manuel Presidente Av.,200.0,300.0,Tilia,3.4,Ocupada,Regular,Elevada,29,14
-58.38782356997889,-34.5901138063258,17732,2,Quintana Manuel Presidente Av.,200.0,296.0,Tilia,3.4,Ocupada,Regular,Elevada,26,14
-58.3877038391061,-34.5902089073024,17734,2,Quintana Manuel Presidente Av.,200.0,286.0,Tilia,3.4,Ocupada,Regular,A nivel,26,13
-58.3876609844533,-34.5902429462106,17735,2,Quintana Manuel Presidente Av.,200.0,284.0,Tilia,3.4,Ocupada,Regular,A nivel,3,2
-58.3876181297655,-34.5902769851035,17736,2,Quintana Manuel Presidente Av.,200.0,282.0,Tilia,3.4,Ocupada,Regular,A nivel,20,10
-58.3875226743087,-34.5903528039324,17737,2,Quintana Manuel Presidente Av.,200.0,260.0,Tilia,3.4,Ocupada,Regular,A nivel,23,12
-58.3875226743087,-34.5903528039324,17738,2,Quintana Manuel Presidente Av.,200.0,260.0,Tilia,3.4,Ocupada,Regular,A nivel,19,12
-58.3875226743087,-34.5903528039324,17739,2,Quintana Manuel Presidente Av.,200.0,260.0,Tilia,3.4,Ocupada,Regular,A nivel,30,13
-58.3871658610139,-34.5906362134337,17740,2,Quintana Manuel Presidente Av.,200.0,222.0,Tilia,3.4,Ocupada,Regular,A nivel,30,14
-58.3873434845432,-34.5904951310674,17741,2,Quintana Manuel Presidente Av.,200.0,240.0,Tilia,3.4,Ocupada,Regular,A nivel,29,15
-58.387068941643896,-34.5907131939857,17742,2,Quintana Manuel Presidente Av.,200.0,210.0,Tilia,3.4,Ocupada,Regular,A nivel,34,15
-58.3880972853531,-34.5897858334735,19621,2,Quintana Manuel Presidente Av.,300.0,323.0,Ficus,3,Ocupada,Regular,Elevada,31,12
-58.3880972853531,-34.5897858334735,19622,2,Quintana Manuel Presidente Av.,300.0,325.0,Ficus,3,Ocupada,Regular,Elevada,34,11
-58.3880972853531,-34.5897858334735,19623,2,Quintana Manuel Presidente Av.,300.0,325.0,Tilia,3,Ocupada,Regular,Elevada,27,11
-58.388270071816905,-34.5896495106962,19624,2,Quintana Manuel Presidente Av.,300.0,335.0,Tilia,3,Ocupada,Regular,A nivel,30,12
-58.3883494777645,-34.589586861810396,19626,2,Quintana Manuel Presidente Av.,300.0,345.0,Ficus,3,Ocupada,Regular,Elevada,36,11
-58.388424701270296,-34.5895275126328,19628,2,Quintana Manuel Presidente Av.,300.0,355.0,Tilia,3,Ocupada,Regular,Elevada,7,4
-58.388521352100895,-34.589451257667605,19629,2,Quintana Manuel Presidente Av.,300.0,363.0,Tilia,3,Ocupada,Regular,Elevada,30,12
-58.38878008615371,-34.5892516975146,19630,2,Quintana Manuel Presidente Av.,300.0,391.0,Tilia,3,Ocupada,Regular,A nivel,29,11
-58.38878008615371,-34.5892516975146,19631,2,Quintana Manuel Presidente Av.,300.0,391.0,Tilia,3,Ocupada,Regular,A nivel,23,11
-58.38878008615371,-34.5892516975146,19661,2,Quintana Manuel Presidente Av.,300.0,391.0,Tilia,3,Ocupada,Regular,A nivel,19,10
-58.3892332888621,-34.5888352110282,19665,2,Quintana Manuel Presidente Av.,400.0,415.0,Jacaranda,4.5,Ocupada,Regular,A nivel,14,7
-58.3893745655481,-34.5887217352264,19666,2,Quintana Manuel Presidente Av.,400.0,437.0,Ficus,4.5,Ocupada,Regular,A nivel,38,4
-58.3893745655481,-34.5887217352264,19668,2,Quintana Manuel Presidente Av.,400.0,441.0,Ficus,4.5,Ocupada,Regular,A nivel,28,4
-58.3894807383391,-34.5886364551444,19669,2,Quintana Manuel Presidente Av.,400.0,455.0,Jacaranda,4.5,Ocupada,Regular,A nivel,30,12
-58.389645316320895,-34.5885042623481,19671,2,Quintana Manuel Presidente Av.,400.0,475.0,Jacaranda,4.5,Ocupada,Regular,Elevada,35,12
-58.387063785932895,-34.590606864429,21778,2,Quintana Manuel Presidente Av.,200.0,209.0,Tilia,3.2,Ocupada,Regular,Elevada,28,13
-58.387063785932895,-34.590606864429,21779,2,Quintana Manuel Presidente Av.,200.0,209.0,Tilia,3.2,Ocupada,Regular,Elevada,10,4
-58.387207168312,-34.5904924277077,21782,2,Quintana Manuel Presidente Av.,200.0,229.0,Tilia,3.2,Sobreocupada,Regular,Elevada,15,8
