long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
NA,NA,514793,4,Rabanal Francico Int. Av.,1300,1300,Ficus,6.5,Ocupada,Regular,A Nivel,54,10
NA,NA,515104,4,Rabanal Francico Int. Av.,1400,1425,Platanus,7,Ocupada,Regular,A Nivel,52,12
NA,NA,515105,4,Rabanal Francico Int. Av.,1400,1425,Platanus,7,Ocupada,Regular,A Nivel,43,12
NA,NA,515106,4,Rabanal Francico Int. Av.,1400,1425,Platanus,7,Ocupada,Regular,A Nivel,109,11
NA,NA,515144,4,Rabanal Francico Int. Av.,1500,1507,Platanus,6.8,Ocupada,Regular,A Nivel,43,10
NA,NA,515145,4,Rabanal Francico Int. Av.,1500,1507,Platanus,6.8,Ocupada,Regular,A Nivel,46,11
NA,NA,515146,4,Rabanal Francico Int. Av.,1500,1507,Platanus,6.8,Ocupada,Regular,A Nivel,59,11
NA,NA,515147,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,32,9
NA,NA,515149,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,57,14
NA,NA,515150,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,59,14
NA,NA,515151,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,63,14
NA,NA,515152,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,67,14
NA,NA,515153,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,70,14
NA,NA,515154,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,65,14
NA,NA,515155,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,61,14
NA,NA,515156,4,Rabanal Francico Int. Av.,1500,1549,Platanus,6.8,Ocupada,Regular,A Nivel,68,14
NA,NA,515355,4,Rabanal Francico Int. Av.,2000,2091,Platanus,9.6,Ocupada,Ochava,A Nivel,83,14
NA,NA,515356,4,Rabanal Francico Int. Av.,2000,2085,Platanus,9.6,Ocupada,Regular,A Nivel,70,13
NA,NA,515357,4,Rabanal Francico Int. Av.,2000,2073,Platanus,9.6,Ocupada,Regular,A Nivel,100,14
