long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.36899809380029,-34.6412345399165,269237,4,Regimiento de Patricios Av.,1200,1210,Platanus,7.8,Ocupada,Ochava,Bajo nivel,75,14
-58.36899809380029,-34.6412345399165,269238,4,Regimiento de Patricios Av.,1200,1212,Platanus,7.8,Ocupada,Regular,Bajo nivel,76,15
-58.3689656028056,-34.6414504456289,269239,4,Regimiento de Patricios Av.,1200,1228,Platanus,7.8,Ocupada,Regular,A nivel,28,10
-58.3689575333578,-34.6415047438378,269240,4,Regimiento de Patricios Av.,1200,1250,Platanus,7.8,Ocupada,Regular,Bajo nivel,20,7
-58.3689167508224,-34.6417791630931,269243,4,Regimiento de Patricios Av.,1200,1294,Platanus,7.8,Ocupada,Regular,A nivel,25,8
-58.37030734877,-34.6324803281003,267275,4,Regimiento de Patricios Av.,200,288,Jacaranda,4.6,Ocupada,Regular,A nivel,13,5
-58.370346595160704,-34.632090288136304,267279,4,Regimiento de Patricios Av.,200,234,Jacaranda,4.6,Ocupada,Regular,A nivel,16,6
-58.370367288787406,-34.6318786869059,267280,4,Regimiento de Patricios Av.,200,218,Melia,4.6,Ocupada,Fuera de línea,A nivel,38,11
-58.370209695476106,-34.6333363452273,267282,4,Regimiento de Patricios Av.,300,382,Ficus,6,Ocupada,Fuera de línea,A nivel,38,8
-58.370209351630706,-34.6333345314074,267283,4,Regimiento de Patricios Av.,300,374,Jacaranda,6,Ocupada,Regular,A nivel,13,5
-58.369344705092495,-34.6390072443033,275449,4,Regimiento de Patricios Av.,915,992,Platanus,6.8,Ocupada,Regular,A nivel,33,11
-58.369359494059104,-34.6389117721581,275450,4,Regimiento de Patricios Av.,915,980,Jacaranda,6.8,Ocupada,Regular,Bajo nivel,6,6
-58.3693960730213,-34.638675630692894,275451,4,Regimiento de Patricios Av.,915,954,Jacaranda,6.8,Ocupada,Regular,A nivel,12,5
-58.36941966639179,-34.638523319126,275453,4,Regimiento de Patricios Av.,915,922,Ficus,6.8,Ocupada,Regular,A nivel,63,11
-58.36941966639179,-34.638523319126,275454,4,Regimiento de Patricios Av.,915,918,Jacaranda,6.8,Ocupada,Regular,A nivel,13,7
-58.3695262126139,-34.6378320354768,275373,4,Regimiento de Patricios Av.,900,848,Ficus,6.8,Ocupada,Regular,A nivel,10,2
-58.369554229452895,-34.6376512734046,275374,4,Regimiento de Patricios Av.,800,822,Jacaranda,6.8,Ocupada,Regular,A nivel,15,4
-58.3693918205069,-34.6387030835767,275405,4,Regimiento de Patricios Av.,915,960,Jacaranda,6.8,Ocupada,Regular,A nivel,8,4
-58.36941966639179,-34.638523319126,275407,4,Regimiento de Patricios Av.,915,922,Ficus,6.8,Ocupada,Fuera de línea,A nivel,56,12
-58.36941966639179,-34.638523319126,275408,4,Regimiento de Patricios Av.,91,918,Jacaranda,6.8,Ocupada,Regular,A nivel,15,4
-58.369514192271005,-34.6379095893771,275418,4,Regimiento de Patricios Av.,800,862,Platanus,6.8,Ocupada,Regular,A nivel,32,9
-58.369568410823405,-34.6375597762272,275420,4,Regimiento de Patricios Av.,800,812,Jacaranda,6.8,Ocupada,Regular,A nivel,19,7
-58.370135302711496,-34.6338527807856,291133,4,Regimiento de Patricios Av.,400,424,Ficus,6,Ocupada,Ochava,Bajo nivel,21,6
-58.370104328586905,-34.6340535264917,291136,4,Regimiento de Patricios Av.,400,444,Jacaranda,6,Ocupada,Regular,A nivel,12,6
-58.370544421941794,-34.6298544581392,289753,4,Regimiento de Patricios Av.,0,32,Ficus,7,Ocupada,Regular,A nivel,71,11
-58.3705232617907,-34.630097289497,289755,4,Regimiento de Patricios Av.,0,50,Jacaranda,7,Ocupada,Regular,A nivel,10,6
-58.3704965507298,-34.630403820321895,289759,4,Regimiento de Patricios Av.,0,74,Platanus,7,Ocupada,Regular,A nivel,85,15
