long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4302577196669,-34.6449829934446,378368,4,Riestra Av.,1400,1495,Melia,4,Sobreocupada,Ochava,A nivel,49,9
-58.431459952221005,-34.6450480939079,511035,4,Riestra Av.,1500,1579,Platanus,4,Ocupada,Regular,A Nivel,67,15
-58.430891773048494,-34.6450184567617,511074,4,Riestra Av.,1500,1531,Platanus,3.6,Ocupada,Regular,A Nivel,76,14
-58.430891773048494,-34.6450184567617,511075,4,Riestra Av.,1500,1531,Jacaranda,3.6,Ocupada,Ochava,A Nivel,3,10
-58.4286792447326,-34.6449170577121,511095,4,Riestra Av.,1300,1389,Platanus,4,Ocupada,Regular,A Nivel,76,12
-58.42856643324121,-34.6449142460139,511096,4,Riestra Av.,1300,1375,Platanus,4,Ocupada,Regular,A Nivel,76,12
-58.42801732800779,-34.6449050637342,511130,4,Riestra Av.,1300,1339,Platanus,4,Ocupada,Regular,A Nivel,64,9
-58.42810168797771,-34.644906360801,511131,4,Riestra Av.,1300,1343,Platanus,4,Ocupada,Regular,A Nivel,2,2
-58.428212349179894,-34.644908058565804,511132,4,Riestra Av.,1300,1345,Platanus,4,Ocupada,Ochava,A Nivel,64,10
-58.427359014581,-34.6448866032308,511192,4,Riestra Av.,1200,1287,Platanus,3.8,Ocupada,Regular,A Nivel,81,22
-58.42667716810001,-34.644845855548,511228,4,Riestra Av.,1200,1211,Platanus,4,Ocupada,Regular,A Nivel,65,20
-58.433908457875994,-34.6458489036281,511273,4,Riestra Av.,1700,1718,Melia,3.2,Ocupada,Fuera de línea,A Nivel,48,9
-58.43405788029511,-34.6459156005535,511275,4,Riestra Av.,1700,1732,Tilia,3.2,Ocupada,Regular,A Nivel,21,9
-58.43405788029511,-34.6459156005535,511276,4,Riestra Av.,1700,1732,Tilia,3.2,Ocupada,Regular,A Nivel,24,9
-58.43459799727779,-34.6461566873912,511286,4,Riestra Av.,1700,1766,Melia,3.2,Sobreocupada,Regular,Elevada,22,9
-58.43459799727779,-34.6461566873912,511287,4,Riestra Av.,1700,1766,Melia,3.2,Sobreocupada,Regular,Elevada,63,13
-58.4347469779219,-34.646223185791605,511290,4,Riestra Av.,1700,1780,Tilia,3.2,Ocupada,Regular,A Nivel,30,11
-58.43152299814201,-34.6452108922457,511352,4,Riestra Av.,1500,1580,Platanus,4,Ocupada,Ochava,A Nivel,99,20
-58.43152299814201,-34.6452108922457,511353,4,Riestra Av.,1500,1580,Platanus,4,Ocupada,Regular,A Nivel,85,20
-58.43152299814201,-34.6452108922457,511354,4,Riestra Av.,1500,1580,Platanus,4,Ocupada,Regular,A Nivel,71,20
-58.4314288086164,-34.645205923820704,511355,4,Riestra Av.,1500,1574,Platanus,4,Ocupada,Regular,Elevada,71,20
-58.431334640927496,-34.6452009562174,511356,4,Riestra Av.,1500,1556,Ficus,4,Ocupada,Regular,A Nivel,28,9
-58.4312395421975,-34.6451959396823,511357,4,Riestra Av.,1500,1552,Melia,4,Ocupada,Regular,A Nivel,39,11
-58.4311382601035,-34.645190596099404,511358,4,Riestra Av.,1500,1546,Melia,4,Ocupada,Regular,A Nivel,49,13
-58.4307890038429,-34.6451717822101,511362,4,Riestra Av.,1500,1520,Platanus,4,Ocupada,Regular,A Nivel,60,20
-58.4306360520926,-34.6451636927831,511365,4,Riestra Av.,1500,1510,Platanus,4,Ocupada,Ochava,A Nivel,99,20
-58.4302338521154,-34.6451405483226,511378,4,Riestra Av.,1400,1490,Platanus,4.4,Ocupada,Ochava,A Nivel,76,20
-58.4296885806007,-34.6451134707306,511381,4,Riestra Av.,1400,1444,Platanus,4.4,Ocupada,Regular,Elevada,93,20
-58.4296047539968,-34.6451089391521,511382,4,Riestra Av.,1400,1436,Platanus,4.4,Ocupada,Regular,A Nivel,2,2
-58.4292810868026,-34.6450916032441,511433,4,Riestra Av.,1400,1424,Platanus,4,Ocupada,Ochava,A Nivel,74,17
-58.429174595932295,-34.645088882018,511434,4,Riestra Av.,1400,1420,Platanus,4,Ocupada,Regular,A Nivel,86,18
-58.4287098864013,-34.645078439295204,511458,4,Riestra Av.,1300,1388,Platanus,44,Ocupada,Regular,A Nivel,96,18
-58.428315609778096,-34.6450686174433,511459,4,Riestra Av.,1300,1330,Platanus,44,Ocupada,Regular,A Nivel,2,2
-58.4280095360119,-34.6450619924363,511464,4,Riestra Av.,1300,1310,Platanus,44,Ocupada,Regular,A Nivel,65,16
-58.427057200865605,-34.6450321382816,511813,4,Riestra Av.,1250,1260,Platanus,4,Ocupada,Ochava,A Nivel,86,21
-58.4271115959556,-34.6450353065607,511814,4,Riestra Av.,1250,1270,Platanus,4,Ocupada,Regular,A Nivel,65,22
-58.4274777359365,-34.6450513687341,511816,4,Riestra Av.,1250,1300,Platanus,4,Ocupada,Ochava,A Nivel,73,10
-58.42658546056999,-34.6450028454843,511837,4,Riestra Av.,1200,1212,Tilia,4,Ocupada,Regular,A Nivel,36,6
-58.42617418153971,-34.6449704669438,511857,4,Riestra Av.,1100,1196,Platanus,4,Ocupada,Regular,A Nivel,85,22
-58.4260166078467,-34.6449496023181,511858,4,Riestra Av.,1100,1152,Platanus,4,Ocupada,Regular,A Nivel,83,18
-58.4259085005894,-34.6449358203556,511859,4,Riestra Av.,1100,1122,Melia,4,Ocupada,Regular,A Nivel,70,16
-58.4259085005894,-34.6449358203556,511860,4,Riestra Av.,1100,1122,Melia,4,Ocupada,Regular,A Nivel,56,7
-58.4333454189252,-34.645435486345896,521961,7,Riestra Av.,1600.0,1695,Platanus,5.4,Ocupada,Ochava,A Nivel,37,5
-58.4333454189252,-34.645435486345896,521962,7,Riestra Av.,1600.0,1695,Platanus,5.4,Ocupada,Fuera de línea,A Nivel,35,5
-58.432595388101795,-34.645129655845295,521967,7,Riestra Av.,1600.0,1625,Jacaranda,5.4,Ocupada,Regular,A Nivel,38,9
-58.4781402894681,-34.679618078256304,404462,8,Riestra Av.,6000.0,6051,Platanus,4,Ocupada,Ochava,A nivel,80,14
-58.47738001139271,-34.6789600033131,404479,8,Riestra Av.,5900.0,5999,Platanus,4.4,Ocupada,Ochava,A nivel,58,12
-58.4771542612944,-34.6787636248733,404483,8,Riestra Av.,5900.0,5939,Platanus,3.2,Ocupada,Regular,A nivel,68,13
-58.479133255449895,-34.6804867028871,401221,8,Riestra Av.,6100.0,6169,Tilia,4.4,Ocupada,Regular,A nivel,30,10
-58.4784729519872,-34.6799091051789,401241,8,Riestra Av.,6000.0,6091,Tilia,4.4,Ocupada,Regular,A nivel,39,10
-58.478393497992,-34.6798416310638,401242,8,Riestra Av.,6000.0,6079,Melia,4.4,Ocupada,Regular,A nivel,58,8
-58.47824177329,-34.6797096453697,401244,8,Riestra Av.,6000.0,6061,Platanus,4.4,Ocupada,Regular,A nivel,72,15
-58.4767261213053,-34.6783869557128,410357,8,Riestra Av.,5800.0,5897,Platanus,4.4,Ocupada,Regular,A nivel,54,9
-58.4770343013083,-34.678953662992,410624,8,Riestra Av.,5900.0,5982,Tilia,4.4,Ocupada,Regular,A nivel,15,6
-58.4770343013083,-34.678953662992,410625,8,Riestra Av.,5900.0,5982,Tilia,4.4,Ocupada,Regular,A nivel,18,7
-58.47685921877171,-34.6788014736898,410626,8,Riestra Av.,5900.0,5950,Tilia,4.4,Ocupada,Regular,A nivel,21,7
-58.47685921877171,-34.6788014736898,410627,8,Riestra Av.,5900.0,5950,Ficus,4.4,Sobreocupada,Regular,A nivel,11,3
-58.4765321813416,-34.6785206323716,410631,8,Riestra Av.,5800.0,5896,Platanus,4.4,Ocupada,Ochava,A nivel,65,17
-58.47650710840339,-34.6784987581107,410632,8,Riestra Av.,5800.0,5890,Melia,4.4,Ocupada,Regular,A nivel,54,10
