long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.44818177740439,-34.6451602359792,423463,5,Rivera Indarte Av.,1600.0,1617.0,Ficus,4,Ocupada,Regular,A nivel,55,14
-58.46102749584129,-34.6327987576435,328614,7,Rivera Indarte Av.,300.0,342,Ficus,2.8,Ocupada,Regular,A nivel,31,11
-58.460796041554794,-34.633338361224496,328617,7,Rivera Indarte Av.,300.0,396,Platanus,2.8,Ocupada,Regular,A nivel,92,17
-58.4610719594563,-34.632925815170005,329994,7,Rivera Indarte Av.,300.0,349,Platanus,2.6,Ocupada,Regular,A nivel,82,16
-58.4610083743771,-34.633073884195106,329995,7,Rivera Indarte Av.,300.0,371,Platanus,5.2,Ocupada,Regular,A nivel,67,16
-58.4610083743771,-34.633073884195106,329996,7,Rivera Indarte Av.,300.0,371,Platanus,2.6,Ocupada,Regular,A nivel,49,15
-58.460942697417,-34.6332268239271,329997,7,Rivera Indarte Av.,300.0,383,Platanus,2.6,Ocupada,Regular,A nivel,57,16
-58.460686342859894,-34.6337644309619,328192,7,Rivera Indarte Av.,400.0,409,Platanus,3.2,Ocupada,Ochava,A nivel,61,10
-58.46065488853829,-34.6338194164351,328193,7,Rivera Indarte Av.,400.0,417,Platanus,3.2,Ocupada,Regular,Bajo nivel,74,10
-58.460610337720205,-34.633903945205105,328194,7,Rivera Indarte Av.,400.0,421,Platanus,3.2,Ocupada,Regular,Bajo nivel,89,10
-58.46051567328179,-34.6340835567661,328195,7,Rivera Indarte Av.,400.0,435,Platanus,3.2,Ocupada,Regular,A nivel,67,11
-58.46049196337871,-34.6341285425931,328196,7,Rivera Indarte Av.,400.0,437,Platanus,3.2,Ocupada,Regular,Bajo nivel,57,10
-58.4604449396223,-34.634217762694504,328197,7,Rivera Indarte Av.,400.0,449,Platanus,3.2,Ocupada,Regular,A nivel,68,10
