long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4669482262356,-34.6949868034988,383048,8,Roca Cnel. Av.,6500.0,6597,Jacaranda,5.2,Ocupada,Regular,A nivel,39,11
-58.4682458723061,-34.6961429267272,379101,8,Roca Cnel. Av.,6700.0,6757,Platanus,5.6,Ocupada,Regular,Elevada,44,17
-58.4682458723061,-34.6961429267272,379102,8,Roca Cnel. Av.,6700.0,6757,Ficus,5.6,Ocupada,Regular,Elevada,23,6
-58.4682458723061,-34.6961429267272,379103,8,Roca Cnel. Av.,6700.0,6757,Ficus,5.6,Ocupada,Regular,Elevada,32,8
-58.4682458723061,-34.6961429267272,379104,8,Roca Cnel. Av.,6700.0,6757,Platanus,5.6,Sobreocupada,Regular,Elevada,15,20
-58.4682458723061,-34.6961429267272,379105,8,Roca Cnel. Av.,6700.0,6757,Ficus,5.6,Ocupada,Regular,A nivel,70,10
-58.4682458723061,-34.6961429267272,379106,8,Roca Cnel. Av.,6700.0,6757,Ficus,5.6,Ocupada,Regular,Elevada,65,8
-58.4690745269065,-34.6973195921532,375957,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,66,10
-58.4690745269065,-34.6973195921532,375958,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,48,9
-58.4690745269065,-34.6973195921532,375959,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,39,9
-58.4690745269065,-34.6973195921532,375960,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,39,8
-58.4690745269065,-34.6973195921532,375961,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,55,10
-58.4690745269065,-34.6973195921532,375962,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,57,10
-58.4690745269065,-34.6973195921532,375964,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,57,10
-58.4690745269065,-34.6973195921532,375965,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,39,8
-58.4690745269065,-34.6973195921532,375966,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,36,9
-58.4690745269065,-34.6973195921532,375967,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,47,9
-58.4690745269065,-34.6973195921532,375968,8,Roca Cnel. Av.,6900.0,6900,Platanus,5.2,Ocupada,Regular,A nivel,58,11
-58.4690090142136,-34.696838984193896,373962,8,Roca Cnel. Av.,6800.0,6845,Melia,10,Ocupada,Regular,A nivel,35,8
-58.4690090142136,-34.696838984193896,373963,8,Roca Cnel. Av.,6800.0,6845,Melia,10,Ocupada,Regular,A nivel,28,5
-58.4690090142136,-34.696838984193896,373964,8,Roca Cnel. Av.,6800.0,6845,Jacaranda,10,Ocupada,Regular,A nivel,21,4
-58.4687756320673,-34.69662540825,373975,8,Roca Cnel. Av.,6800.0,6811,Jacaranda,10,Ocupada,Regular,A nivel,23,4
-58.4687756320673,-34.69662540825,373976,8,Roca Cnel. Av.,6800.0,6811,Jacaranda,10,Ocupada,Regular,A nivel,26,6
-58.4687756320673,-34.69662540825,373977,8,Roca Cnel. Av.,6800.0,6811,Jacaranda,10,Ocupada,Regular,A nivel,28,6
-58.4687626366005,-34.6966135156063,373978,8,Roca Cnel. Av.,6800.0,6809,Platanus,10,Ocupada,Regular,A nivel,24,8
-58.4687626366005,-34.6966135156063,373979,8,Roca Cnel. Av.,6800.0,6809,Platanus,10,Ocupada,Regular,A nivel,24,8
-58.4687626366005,-34.6966135156063,373980,8,Roca Cnel. Av.,6800.0,6809,Platanus,10,Ocupada,Regular,A nivel,29,10
