long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3825680274115,-34.6031031308907,53227,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1119.0,Jacaranda,4.7,Ocupada,Regular,Bajo nivel,36,15
-58.3825680274115,-34.6031031308907,53235,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1145.0,Jacaranda,4.7,Ocupada,Regular,Bajo nivel,55,17
-58.382547858766,-34.6033098807806,53245,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1122.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,18,6
-58.3832053614684,-34.6028073443259,53632,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1195.0,Jacaranda,4.7,Ocupada,Regular,Bajo nivel,30,12
-58.38233872941811,-34.603406936183,53633,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1110.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,36,9
-58.3827217206466,-34.6032291923164,53634,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1140.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,18,9
-58.3825680274115,-34.6031031308907,53176,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1111.0,Jacaranda,4.7,Ocupada,Regular,A nivel,40,11
-58.3825680274115,-34.6031031308907,53177,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1111.0,Jacaranda,6,Ocupada,Ochava,Bajo nivel,20,7
-58.3825680274115,-34.6031031308907,53180,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1133.0,Jacaranda,4.7,Ocupada,Regular,Bajo nivel,16,7
-58.3835291902602,-34.602854444212305,53189,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1184.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,40,13
-58.38305169089729,-34.6030760535848,53191,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1164.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,45,13
-58.3832223584169,-34.6029968464618,53192,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1178.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,19,9
-58.3831796915701,-34.6030166482561,53193,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1172.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,23,10
-58.382878326338904,-34.60315651201461,53194,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1160.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,50,15
-58.3832223584169,-34.6029968464618,53195,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1178.0,Jacaranda,5.1,Ocupada,Regular,A nivel,47,14
-58.382454895370294,-34.603353024487,53197,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1116.0,Jacaranda,5.1,Ocupada,Regular,A nivel,24,8
-58.3835291902602,-34.602854444212305,53199,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1184.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,42,14
-58.3826437056765,-34.6032653987388,53200,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1132.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,46,12
-58.382937427863105,-34.6029316928973,53210,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1149.0,Jacaranda,4.7,Ocupada,Regular,Bajo nivel,19,9
-58.3835291902602,-34.602854444212305,53211,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1194.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,56,12
-58.382937427863105,-34.6029316928973,53212,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1171.0,Jacaranda,4.7,Ocupada,Regular,Bajo nivel,20,7
-58.382878326338904,-34.60315651201461,53213,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",1100.0,1160.0,Jacaranda,5.1,Ocupada,Regular,Bajo nivel,17,8
-58.3787797412835,-34.6052236210857,61218,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,858.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,21,11
-58.3784063561695,-34.6054196130628,61219,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,832.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,22,10
-58.37811913565821,-34.6055703753385,61220,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,812.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,30,12
-58.37852124408361,-34.6053593079617,61221,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,840.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,27,12
-58.3785786879784,-34.6053291553703,61228,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,844.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,29,12
-58.378607409910295,-34.6053140790644,61229,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,846.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,23,11
-58.37886590683001,-34.6051783920044,61230,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,864.0,Jacaranda,4.8,Ocupada,Regular,A nivel,52,14
-58.3789233504759,-34.6051482392495,61241,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,868.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,11,7
-58.3789807940802,-34.605118086458305,61242,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,872.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,20,10
-58.3790382376431,-34.605087933648804,61243,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,876.0,Jacaranda,4.8,Ocupada,Regular,A nivel,17,9
-58.3792392897863,-34.6049823986012,61244,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",800.0,890.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,14,6
-58.380453913454,-34.6043996327733,62689,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",950.0,978.0,Jacaranda,5.2,Ocupada,Regular,A nivel,41,13
-58.3797943810706,-34.604584163352,62690,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,933.0,Jacaranda,8.8,Ocupada,Fuera de línea,A nivel,18,7
-58.380453913454,-34.6043996327733,62691,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",950.0,978.0,Jacaranda,5.2,Ocupada,Regular,Bajo nivel,22,6
-58.380326699383296,-34.6043491304119,62692,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,979.0,Jacaranda,8.8,Sobreocupada,Fuera de línea,A nivel,16,6
-58.380326699383296,-34.6043491304119,62693,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,971.0,Jacaranda,8.8,Ocupada,Fuera de línea,A nivel,8,4
-58.3804575578774,-34.6043974650893,62694,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,962.0,Jacaranda,8.8,Ocupada,Regular,A nivel,32,11
-58.380326699383296,-34.6043491304119,62695,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,963.0,Jacaranda,8.8,Ocupada,Fuera de línea,Bajo nivel,10,6
-58.380047365792294,-34.604451364509394,62697,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,947.0,Jacaranda,8.8,Ocupada,Fuera de línea,Bajo nivel,14,7
-58.380047365792294,-34.604451364509394,62698,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,947.0,Jacaranda,8.8,Ocupada,Regular,A nivel,38,13
-58.3797943810706,-34.604584163352,62699,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,933.0,Jacaranda,8.8,Ocupada,Regular,Bajo nivel,18,7
-58.3797943810706,-34.604584163352,62700,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,933.0,Jacaranda,8.8,Ocupada,Fuera de línea,Bajo nivel,8,5
-58.3797943810706,-34.604584163352,62702,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,933.0,Jacaranda,8.8,Ocupada,Regular,Bajo nivel,21,7
-58.3797943810706,-34.604584163352,62709,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,933.0,Jacaranda,8.8,Ocupada,Fuera de línea,A nivel,15,7
-58.3800767208811,-34.6046496989829,62710,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,936.0,Jacaranda,4.8,Ocupada,Regular,A nivel,42,11
-58.3797943810706,-34.604584163352,62741,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,933.0,Jacaranda,8.8,Ocupada,Regular,A nivel,11,5
-58.380624267452205,-34.6041721376475,62686,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",900.0,983.0,Jacaranda,8.8,Ocupada,Regular,A nivel,25,9
-58.37536158377629,-34.607122822554004,65607,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",600.0,624.0,Jacaranda,4.8,Ocupada,Regular,A nivel,26,9
-58.37536158377629,-34.607122822554004,65613,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",600.0,620.0,Jacaranda,4.8,Ocupada,Regular,A nivel,29,15
-58.376195311850005,-34.6064721642874,65199,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",600.0,675.0,Jacaranda,2,Ocupada,Regular,A nivel,5,4
-58.376195311850005,-34.6064721642874,65201,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",600.0,683.0,Ficus,2,Ocupada,Regular,A nivel,17,7
-58.374641990877294,-34.607496779790694,65445,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",500.0,580.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,15,8
-58.374641990877294,-34.607496779790694,65485,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",500.0,570.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,9,4
-58.374641990877294,-34.607496779790694,65486,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",500.0,570.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,46,14
-58.374641990877294,-34.607496779790694,65487,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",500.0,550.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,29,9
-58.374641990877294,-34.607496779790694,65490,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",500.0,550.0,Jacaranda,4.8,Ocupada,Fuera de línea,A nivel,26,9
-58.37536158377629,-34.607122822554004,65580,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",600.0,632.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,13,8
-58.3755419335954,-34.607028690953996,65585,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",600.0,648.0,Jacaranda,4.8,Ocupada,Regular,A nivel,10,7
-58.37393916891279,-34.6076446699593,65870,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",500.0,511.0,Jacaranda,4.8,Ocupada,Regular,A nivel,21,9
-58.37393916891279,-34.6076446699593,65875,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",500.0,511.0,Jacaranda,4.8,Ocupada,Regular,Bajo nivel,18,8
-58.3767739190691,-34.6063845469165,66127,1,"Saenz Peña Roque,Pres. Diagonal Norte Av.",700.0,714.0,Jacaranda,4.8,Ocupada,Regular,A nivel,15,6
