long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.3909567661984,-34.622785699681,58854,1,San Juan Av.,NA,1774.0,Jacaranda,3.3,Ocupada,Regular,Elevada,27,9
-58.3779883266117,-34.6219980030233,64587,1,San Juan Av.,800.0,855.0,Jacaranda,3.2,Ocupada,Regular,A nivel,12,5
-58.3725886928208,-34.621964763576,70821,1,San Juan Av.,500.0,488.0,Ficus,4.2,Ocupada,Regular,A nivel,15,8
-58.366592517877905,-34.6215079429747,70557,1,San Juan Av.,500.0,53.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,14,7
-58.3718819889738,-34.621939775650304,70587,1,San Juan Av.,400.0,438.0,Jacaranda,3.8,Ocupada,Regular,Bajo nivel,21,5
-58.3911686983572,-34.6226269109825,75536,1,San Juan Av.,1700.0,1785.0,Jacaranda,3.2,Ocupada,Regular,Bajo nivel,21,10
-58.3911686983572,-34.6226269109825,75539,1,San Juan Av.,1700.0,1785.0,Jacaranda,3.2,Ocupada,Regular,A nivel,29,12
-58.39092525589871,-34.6226119992364,75546,1,San Juan Av.,1700.0,1771.0,Jacaranda,3.2,Ocupada,Fuera de línea,A nivel,19,7
-58.3861276062387,-34.622319071385306,83079,1,San Juan Av.,1400.0,1417.0,Jacaranda,3.1,Ocupada,Regular,NA,12,7
-58.38633110157271,-34.6223302934271,83082,1,San Juan Av.,1400.0,1441.0,Jacaranda,3.1,Ocupada,Fuera de línea,A nivel,14,7
-58.3864906906552,-34.6223390934934,83086,1,San Juan Av.,1400.0,1453.0,Tilia,3.1,Ocupada,Fuera de línea,A nivel,3,2
-58.385347096546894,-34.6222806612546,84634,1,San Juan Av.,1300.0,1369.0,Tilia,3.6,Ocupada,Regular,A nivel,3,2
-58.385347096546894,-34.6222806612546,84636,1,San Juan Av.,1300.0,1369.0,Jacaranda,3.6,Ocupada,Regular,A nivel,20,8
-58.3845510456306,-34.6222383045469,84622,1,San Juan Av.,1300.0,1313.0,Jacaranda,3.6,Ocupada,Regular,A nivel,32,14
-58.3792252477308,-34.6221996467515,87428,1,San Juan Av.,900.0,942.0,Jacaranda,3.2,Sobreocupada,Regular,A nivel,12,7
-58.3792252477308,-34.6221996467515,87431,1,San Juan Av.,900.0,942.0,Jacaranda,3.2,Sobreocupada,Regular,A nivel,10,7
-58.3840960781869,-34.622210555295,90026,1,San Juan Av.,1200.0,1271.0,Jacaranda,3.2,Ocupada,Regular,A nivel,21,8
-58.38389485185571,-34.6222007991743,90028,1,San Juan Av.,1200.0,1261.0,Jacaranda,3.2,Ocupada,Regular,A nivel,17,8
-58.3837978003921,-34.6221960935841,90031,1,San Juan Av.,1200.0,1253.0,Jacaranda,3.2,Ocupada,Regular,A nivel,20,7
-58.383993690889596,-34.6222055913601,90033,1,San Juan Av.,1200.0,1263.0,Jacaranda,3.2,Ocupada,Regular,A nivel,22,9
-58.3835665797937,-34.6221848832553,90040,1,San Juan Av.,1200.0,1243.0,Ficus,3.2,Ocupada,Regular,A nivel,98,22
-58.367732281467,-34.6215945221559,90902,1,San Juan Av.,100.0,141.0,Platanus,3.8,Ocupada,Regular,A nivel,90,22
-58.367732281467,-34.6215945221559,90906,1,San Juan Av.,100.0,141.0,Platanus,3.8,Ocupada,Regular,A nivel,73,20
-58.367732281467,-34.6215945221559,90911,1,San Juan Av.,100.0,141.0,Platanus,3.8,Ocupada,Ochava,A nivel,89,20
-58.3671531789375,-34.621661845,99777,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,31,10
-58.3671531789375,-34.621661845,99778,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,25,10
-58.3671531789375,-34.621661845,99779,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,25,7
-58.3671531789375,-34.621661845,99780,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,26,7
-58.3671531789375,-34.621661845,99781,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,23,7
-58.3671531789375,-34.621661845,99788,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,21,7
-58.3671531789375,-34.621661845,99789,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,27,10
-58.3671531789375,-34.621661845,99791,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,24,10
-58.3671531789375,-34.621661845,99810,1,San Juan Av.,100.0,120.0,Jacaranda,3.5,Ocupada,Regular,A nivel,25,9
-58.37584773255529,-34.621921859794504,283837,1,San Juan Av.,700.0,701.0,Ficus,3.2,Ocupada,Regular,Elevada,6,3
-58.3874850096626,-34.622398419026396,282711,1,San Juan Av.,1500.0,1515.0,Jacaranda,3.2,Ocupada,Regular,A nivel,22,9
-58.3875795578835,-34.6224041678217,282712,1,San Juan Av.,1500.0,1523.0,Jacaranda,3.2,Ocupada,Regular,A nivel,23,7
-58.3877984425083,-34.62241840032561,282714,1,San Juan Av.,1500.0,1545.0,Jacaranda,3.2,Ocupada,Regular,A nivel,26,9
-58.3877984425083,-34.62241840032561,282715,1,San Juan Av.,1500.0,1545.0,Jacaranda,3.2,Ocupada,Regular,A nivel,26,8
-58.3749830682722,-34.621889894253805,287786,1,San Juan Av.,600.0,639.0,Ficus,3.2,Ocupada,Regular,A nivel,13,4
-58.3749830682722,-34.621889894253805,287787,1,San Juan Av.,600.0,639.0,Ficus,3.2,Ocupada,Regular,A nivel,14,5
-58.3749830682722,-34.621889894253805,287788,1,San Juan Av.,600.0,639.0,Ficus,3.2,Ocupada,Regular,A nivel,13,4
-58.3749830682722,-34.621889894253805,287789,1,San Juan Av.,600.0,639.0,Ficus,3.3,Ocupada,Regular,A nivel,8,5
-58.3749830682722,-34.621889894253805,287790,1,San Juan Av.,600.0,639.0,Ficus,3.2,Ocupada,Regular,A nivel,7,5
-58.3749830682722,-34.621889894253805,287791,1,San Juan Av.,600.0,639.0,Ficus,3.2,Ocupada,Regular,A nivel,13,3
-58.3749830682722,-34.621889894253805,287792,1,San Juan Av.,600.0,639.0,Ficus,3.2,Ocupada,Regular,A nivel,16,5
-58.3749830682722,-34.621889894253805,287793,1,San Juan Av.,600.0,639.0,Ficus,3.2,Ocupada,Regular,A nivel,7,2
-58.3749830682722,-34.621889894253805,287794,1,San Juan Av.,600.0,639.0,Ficus,3.2,Ocupada,Regular,A nivel,8,4
-58.3749830682722,-34.621889894253805,287795,1,San Juan Av.,600.0,637.0,Jacaranda,3.2,Ocupada,Regular,A nivel,8,2
-58.366361840517904,-34.621489156859795,287835,1,San Juan Av.,0.0,21.0,Platanus,4,Ocupada,Ochava,A nivel,132,19
-58.3666501872012,-34.621512639723804,287837,1,San Juan Av.,0.0,61.0,Jacaranda,4,Ocupada,Regular,A nivel,24,7
-58.3666501872012,-34.621512639723804,287838,1,San Juan Av.,0.0,61.0,Jacaranda,4,Ocupada,Regular,A nivel,19,7
-58.3666431251282,-34.6215124629527,287839,1,San Juan Av.,0.0,87.0,Jacaranda,4,Ocupada,Ochava,A nivel,13,10
-58.3842377768472,-34.6223938778722,419797,1,San Juan Av.,1200.0,1294.0,Jacaranda,3,Ocupada,Regular,Bajo nivel,38,14
-58.3833855837222,-34.6223531905219,419801,1,San Juan Av.,1200.0,1220.0,Jacaranda,3,Ocupada,Regular,A nivel,28,10
-58.3862693093964,-34.6225012682047,420299,1,San Juan Av.,1400.0,1424.0,Tilia,3.6,Ocupada,Regular,Bajo nivel,2,2
-58.38250272468329,-34.6223049482849,420564,1,San Juan Av.,1100.0,1170.0,Tilia,3.6,Ocupada,Regular,A nivel,3,2
-58.38193538434879,-34.622275010345994,420566,1,San Juan Av.,1100.0,1130.0,Tilia,3.2,Ocupada,Regular,A nivel,4,3
-58.38166407277989,-34.622260692698696,420567,1,San Juan Av.,1100.0,1120.0,Jacaranda,3.2,Ocupada,Regular,A nivel,26,8
-58.3839496077508,-34.6223799072151,419907,1,San Juan Av.,1200.0,1268.0,Jacaranda,3,Ocupada,Regular,Bajo nivel,12,6
-58.3837464522159,-34.6223700573418,419908,1,San Juan Av.,1200.0,1252.0,Ficus,3,Ocupada,Regular,Bajo nivel,22,2
-58.3835693614958,-34.622361471092,419909,1,San Juan Av.,1200.0,1244.0,Jacaranda,3,Ocupada,Regular,Bajo nivel,9,6
-58.3868658085612,-34.6225342198841,420385,1,San Juan Av.,1400.0,1480.0,Jacaranda,3.4,Ocupada,Regular,A nivel,9,3
-58.384711850222395,-34.622411236156005,419946,1,San Juan Av.,1300.0,1320.0,Ficus,3,Ocupada,Regular,Bajo nivel,18,5
-58.3852343890471,-34.6224396477179,419949,1,San Juan Av.,1300.0,1360.0,Jacaranda,3,Ocupada,Regular,A nivel,30,10
-58.3853853075811,-34.6224479590108,419950,1,San Juan Av.,1300.0,1370.0,Ficus,3,Ocupada,Regular,Elevada,28,9
-58.38250272468329,-34.6223049482849,420476,1,San Juan Av.,1100.0,1170.0,Tilia,3.4,Ocupada,Regular,A nivel,4,2
-58.3818367930967,-34.6222698073312,420478,1,San Juan Av.,1100.0,1122.0,Jacaranda,3.4,Ocupada,Regular,A nivel,29,11
-58.37072282986671,-34.6218932751909,417427,1,San Juan Av.,300.0,350.0,Jacaranda,3.4,Ocupada,Regular,Bajo nivel,19,5
-58.37072282986671,-34.6218932751909,416180,1,San Juan Av.,300.0,350.0,Jacaranda,3.2,Ocupada,Regular,A nivel,24,7
