long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.45191536678579,-34.6062784330458,38328,6,San Martín Av.,1500.0,1592.0,Platanus,4,Ocupada,Regular,Bajo nivel,69,25
-58.4518354287179,-34.6062990925142,38334,6,San Martín Av.,1500.0,1586.0,Platanus,4,Ocupada,Regular,Bajo nivel,46,19
-58.4517457644106,-34.606322265585,38335,6,San Martín Av.,1500.0,1580.0,Platanus,4,Ocupada,Regular,A nivel,62,24
-58.4516095155832,-34.6063574779278,38336,6,San Martín Av.,1500.0,1570.0,Platanus,4,Ocupada,Regular,A nivel,50,24
-58.4516095155832,-34.6063574779278,38342,6,San Martín Av.,1500.0,1564.0,Platanus,4,Ocupada,Regular,A nivel,49,24
-58.4516095155832,-34.6063574779278,38352,6,San Martín Av.,1500.0,1558.0,Platanus,4,Ocupada,Regular,A nivel,58,23
-58.45120302557939,-34.6064611876298,38355,6,San Martín Av.,1500.0,1516.0,Platanus,4,Ocupada,Regular,Bajo nivel,47,16
-58.4530972452438,-34.6059793040117,43025,6,San Martín Av.,1700.0,1718.0,Platanus,4,Ocupada,Regular,A nivel,95,20
-58.45005845585239,-34.6067485460867,44150,6,San Martín Av.,1400.0,1460.0,Platanus,4,Ocupada,Regular,A nivel,51,14
-58.449645849241705,-34.6068513234487,44403,6,San Martín Av.,1400.0,1440.0,Platanus,4,Ocupada,Regular,A nivel,55,22
-58.4501809860775,-34.6067184859298,44167,6,San Martín Av.,1400.0,1470.0,Ficus,4,Ocupada,Regular,Elevada,35,4
-58.44853721943561,-34.6071281226826,46736,6,San Martín Av.,1220.0,1390.0,Platanus,4,Ocupada,Regular,Bajo nivel,61,20
-58.4475966783358,-34.6073624145679,46739,6,San Martín Av.,1220.0,1286.0,Platanus,4,Ocupada,Regular,A nivel,79,23
-58.446772705948,-34.6075697364287,46740,6,San Martín Av.,1200.0,1208.0,Ficus,4,Ocupada,Regular,A nivel,49,12
-58.44812293568621,-34.6072313232024,46784,6,San Martín Av.,1220.0,1336.0,Ficus,4,Sobreocupada,Regular,Elevada,38,9
-58.447075135753,-34.6074923289013,46785,6,San Martín Av.,1220.0,1224.0,Ficus,4,Ocupada,Fuera de línea,Elevada,23,8
-58.44749295583279,-34.607388251694104,46786,6,San Martín Av.,1220.0,1266.0,Ficus,4,Ocupada,Regular,Elevada,27,8
-58.4469665104881,-34.607521459081504,46787,6,San Martín Av.,1200.0,1220.0,Platanus,4,Ocupada,Regular,A nivel,62,18
-58.4469665104881,-34.607521459081504,46788,6,San Martín Av.,1200.0,1218.0,Ficus,4,Ocupada,Regular,Bajo nivel,30,8
-58.447828354672495,-34.6073047040488,46789,6,San Martín Av.,1220.0,1318.0,Ficus,4,Ocupada,Regular,Elevada,28,7
-58.447701615040295,-34.6073362749247,46790,6,San Martín Av.,1220.0,1308.0,Platanus,4,Ocupada,Regular,Elevada,67,23
-58.4472838666122,-34.6074403351071,46791,6,San Martín Av.,1220.0,1240.0,Platanus,4,Ocupada,Regular,Elevada,58,18
-58.446772705948,-34.6075697364287,46793,6,San Martín Av.,1200.0,1206.0,Ficus,4,Ocupada,Regular,Elevada,43,8
-58.446772705948,-34.6075697364287,46794,6,San Martín Av.,1200.0,1210.0,Ficus,4,Ocupada,Regular,A nivel,35,9
-58.44749295583279,-34.607388251694104,46795,6,San Martín Av.,1220.0,1274.0,Platanus,4,Ocupada,Regular,A nivel,71,23
-58.4575921230581,-34.604806002758004,60654,6,San Martín Av.,2100.0,2134.0,Platanus,4.2,Ocupada,Regular,A nivel,62,16
-58.457864069913995,-34.6047347083644,60655,6,San Martín Av.,2100.0,2160.0,Platanus,4.2,Ocupada,Regular,A nivel,62,15
-58.457955032988394,-34.604711387296,60659,6,San Martín Av.,2100.0,2178.0,Platanus,4.2,Ocupada,Regular,A nivel,49,15
-58.4576826367233,-34.6047825224451,60660,6,San Martín Av.,2100.0,2140.0,Platanus,4.2,Ocupada,Regular,A nivel,61,15
-58.4568709424104,-34.604993082515,60661,6,San Martín Av.,2100.0,2034.0,Platanus,4.2,Ocupada,Regular,A nivel,72,16
-58.4571428639825,-34.6049225445796,60662,6,San Martín Av.,2100.0,2070.0,Platanus,4.2,Ocupada,Regular,A nivel,66,15
-58.457051847141294,-34.604946154924995,60663,6,San Martín Av.,2100.0,2054.0,Platanus,4.2,Ocupada,Regular,A nivel,94,15
-58.457232723660496,-34.6048992343488,60667,6,San Martín Av.,2100.0,2084.0,Platanus,4.2,Ocupada,Regular,A nivel,47,15
-58.4575030517661,-34.604829108786305,60668,6,San Martín Av.,2100.0,2120.0,Platanus,4.2,Ocupada,Regular,A nivel,49,16
-58.457232723660496,-34.6048992343488,60669,6,San Martín Av.,2100.0,2080.0,Platanus,4.2,Ocupada,Regular,A nivel,1,19
-58.4574133340242,-34.6048523824618,60671,6,San Martín Av.,2100.0,2110.0,Platanus,4.2,Ocupada,Regular,A nivel,62,15
-58.457864069913995,-34.6047347083644,60672,6,San Martín Av.,2100.0,2160.0,Platanus,4.2,Ocupada,Regular,A nivel,72,16
-58.4573221241899,-34.604876043112,60673,6,San Martín Av.,2100.0,2104.0,Platanus,4.2,Ocupada,Regular,A nivel,54,15
-58.4567817953943,-34.6050162075648,60674,6,San Martín Av.,2100.0,2022.0,Platanus,4.2,Ocupada,Regular,A nivel,67,15
-58.456694690654,-34.6050388028,60675,6,San Martín Av.,2000.0,2008.0,Platanus,4.2,Ocupada,Regular,A nivel,65,15
-58.4568709424104,-34.604993082515,60676,6,San Martín Av.,2100.0,2038.0,Platanus,4.2,Ocupada,Regular,A nivel,70,16
-58.4569609155566,-34.6049693132142,60677,6,San Martín Av.,2100.0,2048.0,Platanus,4.2,Ocupada,Regular,A nivel,82,15
-58.455577489756,-34.6053269559252,64306,6,San Martín Av.,1900.0,1924.0,Platanus,4.8,Ocupada,Regular,A nivel,72,20
-58.455577489756,-34.6053269559252,64143,6,San Martín Av.,1900.0,1924.0,Platanus,4.8,Ocupada,Regular,A nivel,52,18
-58.4556680558712,-34.605303464708,64229,6,San Martín Av.,1900.0,1938.0,Platanus,4.8,Ocupada,Regular,A nivel,63,18
-58.4590785432775,-34.6044437884405,170725,11,San Martín Av.,2200.0,2218.0,Platanus,4.5,Ocupada,Regular,Bajo nivel,16,10
-58.459318375988104,-34.6043822886305,170786,11,San Martín Av.,2200.0,2236.0,Platanus,4.5,Ocupada,Regular,A nivel,50,15
-58.459433935052,-34.604352657518504,170791,11,San Martín Av.,2200.0,2244.0,Platanus,4.5,Ocupada,Regular,Bajo nivel,8,7
-58.4598182222159,-34.6042541194094,170792,11,San Martín Av.,2200.0,2288.0,Platanus,4.5,Ocupada,Regular,Bajo nivel,62,16
-58.4595939029725,-34.6043116390362,170793,11,San Martín Av.,2200.0,2272.0,Platanus,4.5,Ocupada,Regular,A nivel,62,16
-58.459612431763894,-34.604306887922604,170794,11,San Martín Av.,2200.0,2250.0,Platanus,4.5,Ocupada,Regular,A nivel,10,5
-58.459612431763894,-34.604306887922604,170796,11,San Martín Av.,2200.0,2256.0,Platanus,4.5,Ocupada,Regular,A nivel,6,3
-58.4599048885297,-34.6042318963904,170798,11,San Martín Av.,2200.0,2292.0,Platanus,4.5,Ocupada,Regular,A nivel,5,3
-58.459731555834104,-34.604276342339695,170801,11,San Martín Av.,2200.0,2278.0,Platanus,4.5,Ocupada,Regular,Bajo nivel,20,2
-58.4595939029725,-34.6043116390362,170804,11,San Martín Av.,2200.0,2262.0,Platanus,4.5,Ocupada,Regular,A nivel,38,16
-58.459318375988104,-34.6043822886305,170805,11,San Martín Av.,2200.0,2232.0,Platanus,4.5,Ocupada,Regular,Bajo nivel,60,16
-58.461028823945,-34.603943581265895,182019,11,San Martín Av.,2300,2368.0,Platanus,5,Ocupada,Regular,A nivel,7,4
-58.461180598671604,-34.603904919059,182024,11,San Martín Av.,2300,2390.0,Platanus,5,Ocupada,Regular,A nivel,12,7
-58.4609231940652,-34.6039704886864,182029,11,San Martín Av.,2300,2348.0,Platanus,5,Ocupada,Regular,A nivel,8,4
-58.46100332361079,-34.6039500770597,182035,11,San Martín Av.,2300,2360.0,Platanus,5,Ocupada,Regular,Bajo nivel,11,7
-58.4605739217169,-34.6040594622285,182036,11,San Martín Av.,2300,2310.0,Platanus,5,Ocupada,Regular,A nivel,12,8
-58.4607545434986,-34.6040134493469,182037,11,San Martín Av.,2300,2336.0,Platanus,5,Ocupada,Regular,A nivel,34,12
-58.4606782802991,-34.6040327134551,182049,11,San Martín Av.,2300,2324.0,Platanus,5,Ocupada,Regular,A nivel,40,12
-58.4906067097795,-34.597323309619604,207556,11,San Martín Av.,5100,5108.0,Ficus,3.6,Ocupada,Regular,A nivel,62,10
-58.49090927751389,-34.5973033211342,207629,11,San Martín Av.,5100,5140.0,Platanus,3.6,Ocupada,Regular,A nivel,1,12
-58.4652080951692,-34.6028808328984,187530,11,San Martín Av.,2800,2820.0,Platanus,3.6,Ocupada,Regular,A nivel,32,10
-58.465957470110595,-34.6026969069209,187534,11,San Martín Av.,2800,2882.0,Platanus,3.6,Ocupada,Regular,A nivel,26,13
-58.465957470110595,-34.6026969069209,187535,11,San Martín Av.,2800,2886.0,Platanus,3.6,Ocupada,Regular,A nivel,32,12
-58.4660837404405,-34.6026656272477,187536,11,San Martín Av.,2800,2890.0,Platanus,3.6,Ocupada,Regular,A nivel,26,7
-58.4666868585645,-34.6025161898039,186505,11,San Martín Av.,2900,2944.0,Ficus,3.8,Sobreocupada,Regular,Elevada,26,4
-58.4666868585645,-34.6025161898039,186507,11,San Martín Av.,2900,2944.0,Ficus,3.8,Sobreocupada,Regular,Elevada,11,4
-58.4906067097795,-34.597323309619604,207497,11,San Martín Av.,5100,5108.0,Ficus,3.6,Ocupada,Ochava,A nivel,45,9
-58.4956689219512,-34.5969828209012,206190,11,San Martín Av.,5500,5560.0,Jacaranda,3.6,Ocupada,Regular,A nivel,48,2
-58.4643339950411,-34.603105153114,205945,11,San Martín Av.,2500,2746.0,Platanus,3.75,Ocupada,Regular,A nivel,22,10
