long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.380817489110406,-34.5952207222357,53484,1,Santa Fe Av.,900.0,969.0,Jacaranda,4,Ocupada,Regular,A nivel,9,2
-58.380817489110406,-34.5952207222357,53485,1,Santa Fe Av.,900.0,967.0,Jacaranda,4,Ocupada,Regular,A nivel,34,13
-58.380708566086504,-34.5952111385558,53489,1,Santa Fe Av.,900.0,955.0,Jacaranda,4,Ocupada,Regular,A nivel,12,4
-58.38060291067929,-34.5952018424643,53494,1,Santa Fe Av.,900.0,951.0,Jacaranda,4,Ocupada,Regular,A nivel,12,5
-58.38060291067929,-34.5952018424643,53495,1,Santa Fe Av.,900.0,945.0,Jacaranda,4,Ocupada,Regular,A nivel,7,5
-58.3804819988575,-34.5951912036247,53500,1,Santa Fe Av.,900.0,931.0,Jacaranda,4,Ocupada,Regular,Elevada,35,10
-58.3803580595484,-34.595180298292306,53508,1,Santa Fe Av.,900.0,921.0,Jacaranda,4,Ocupada,Regular,A nivel,9,3
-58.380315939434006,-34.5951765923352,53510,1,Santa Fe Av.,900.0,919.0,Jacaranda,4,Ocupada,Regular,A nivel,38,15
-58.377913551541205,-34.5951298431527,53374,1,Santa Fe Av.,700.0,780.0,Jacaranda,4.8,Ocupada,Regular,A nivel,11,35
-58.3780767935275,-34.5951442033532,53379,1,Santa Fe Av.,700.0,782.0,Jacaranda,4.8,Ocupada,Regular,A nivel,10,4
-58.3782127861751,-34.5951561662124,53391,1,Santa Fe Av.,700.0,788.0,Jacaranda,4.8,Ocupada,Regular,A nivel,38,15
-58.3782127861751,-34.5951561662124,53399,1,Santa Fe Av.,700.0,794.0,Jacaranda,4.8,Ocupada,Regular,A nivel,36,16
-58.3812258287638,-34.5952566943405,53465,1,Santa Fe Av.,900.0,997.0,Jacaranda,4,Ocupada,Ochava,A nivel,45,13
-58.380999091456296,-34.5954016257228,53473,1,Santa Fe Av.,900.0,980.0,Jacaranda,4,Ocupada,Regular,A nivel,23,10
-58.380999091456296,-34.5954016257228,53483,1,Santa Fe Av.,900.0,976.0,Jacaranda,4,Ocupada,Regular,A nivel,36,12
-58.379665614761706,-34.5951211459423,55237,1,Santa Fe Av.,800.0,887.0,Jacaranda,4,Ocupada,Regular,A nivel,27,13
-58.379665614761706,-34.5951211459423,55217,1,Santa Fe Av.,800.0,887.0,Jacaranda,4,Ocupada,Regular,A nivel,27,12
-58.379577434493704,-34.5951133863021,55253,1,Santa Fe Av.,800.0,881.0,Jacaranda,4,Ocupada,Regular,A nivel,30,12
-58.3795480410674,-34.595110799831296,55254,1,Santa Fe Av.,800.0,879.0,Jacaranda,4,Ocupada,Regular,A nivel,10,5
-58.3795480410674,-34.595110799831296,55255,1,Santa Fe Av.,800.0,879.0,Jacaranda,4,Ocupada,Regular,A nivel,13,5
-58.3794598607666,-34.595103040457694,55256,1,Santa Fe Av.,800.0,873.0,Jacaranda,4,Ocupada,Regular,A nivel,37,17
-58.3792576555316,-34.59508524689689,55260,1,Santa Fe Av.,800.0,865.0,Jacaranda,4,Ocupada,Regular,A nivel,41,14
-58.37917815890199,-34.595078251542304,55264,1,Santa Fe Av.,800.0,859.0,Jacaranda,4,Ocupada,Regular,A nivel,24,18
-58.3787542784591,-34.5952023220137,55269,1,Santa Fe Av.,800.0,816.0,Jacaranda,4,Ocupada,Regular,A nivel,23,10
-58.3788164298221,-34.5950464195888,55285,1,Santa Fe Av.,800.0,825.0,Jacaranda,4,Ocupada,Regular,A nivel,39,17
-58.3788164298221,-34.5950464195888,55295,1,Santa Fe Av.,800.0,825.0,Jacaranda,4,Ocupada,Regular,A nivel,41,17
-58.3787526025497,-34.5950408025233,55313,1,Santa Fe Av.,800.0,815.0,Jacaranda,4,Ocupada,Regular,Bajo nivel,41,13
-58.384019952859894,-34.5954857680889,67942,1,Santa Fe Av.,1100.0,1183.0,Jacaranda,3.6,Ocupada,Regular,A nivel,18,9
-58.383656492027995,-34.5954568214633,67943,1,Santa Fe Av.,1100.0,1161.0,Tilia,3.6,Ocupada,Regular,A nivel,27,10
-58.383656492027995,-34.5954568214633,67945,1,Santa Fe Av.,1100.0,1157.0,Tilia,3.6,Ocupada,Regular,A nivel,21,10
-58.383656492027995,-34.5954568214633,67946,1,Santa Fe Av.,1100.0,1153.0,Tilia,3.6,Ocupada,Regular,A nivel,27,10
-58.3831927685588,-34.5954198884345,67952,1,Santa Fe Av.,1100.0,1129.0,Jacaranda,3.6,Ocupada,Regular,A nivel,35,11
-58.3831927685588,-34.5954198884345,67955,1,Santa Fe Av.,1100.0,1129.0,Jacaranda,3.6,Ocupada,Regular,A nivel,17,9
-58.3829721409016,-34.5954023157462,68063,1,Santa Fe Av.,1100.0,1101.0,Jacaranda,3.6,Ocupada,Ochava,A nivel,34,12
-58.3868298991681,-34.5956351743849,70186,1,Santa Fe Av.,1300.0,1381.0,Jacaranda,3.6,Ocupada,Regular,A nivel,4,2
-58.386593346068295,-34.5956281970073,70188,1,Santa Fe Av.,1300.0,1355.0,Jacaranda,3.6,Ocupada,Regular,A nivel,42,9
-58.386339280667706,-34.5956207025673,70208,1,Santa Fe Av.,1300.0,1339.0,Jacaranda,3.6,Ocupada,Regular,A nivel,40,9
-58.3862054199862,-34.59561675312381,70217,1,Santa Fe Av.,1300.0,1325.0,Ficus,3.6,Ocupada,Regular,A nivel,2,30
-58.385232796074,-34.5955643713907,70243,1,Santa Fe Av.,1200.0,1275.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,4,4
-58.384945483353704,-34.5955471387409,70246,1,Santa Fe Av.,1200.0,1245.0,Jacaranda,3.6,Ocupada,Regular,A nivel,23,9
-58.384945483353704,-34.5955471387409,70248,1,Santa Fe Av.,1200.0,1235.0,Jacaranda,3.6,Ocupada,Regular,A nivel,12,6
-58.3848007809539,-34.595538460052296,70250,1,Santa Fe Av.,1200.0,1231.0,Jacaranda,3.6,Sobreocupada,Regular,A nivel,13,6
-58.3848007809539,-34.595538460052296,70252,1,Santa Fe Av.,1200.0,1231.0,Jacaranda,3.6,Sobreocupada,Regular,A nivel,6,4
-58.384620142308705,-34.5955276253976,70254,1,Santa Fe Av.,1200.0,1223.0,Jacaranda,3.6,Ocupada,Regular,A nivel,4,3
-58.3839431386821,-34.5956466185889,78480,1,Santa Fe Av.,1100.0,1180.0,Jacaranda,3.6,Ocupada,Regular,A nivel,34,9
-58.3839431386821,-34.5956466185889,78482,1,Santa Fe Av.,1100.0,1184.0,Ficus,3.6,Ocupada,Regular,A nivel,33,9
-58.38404760537661,-34.595654938473004,78484,1,Santa Fe Av.,1100.0,1188.0,Jacaranda,3.6,Ocupada,Regular,A nivel,4,3
-58.3829630464981,-34.595568559697,78579,1,Santa Fe Av.,1100.0,1106.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,6,4
-58.383116333525,-34.595580768445394,78580,1,Santa Fe Av.,1100.0,1124.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,6,4
-58.383191411769,-34.5955867482254,78583,1,Santa Fe Av.,1100.0,1126.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,3,3
-58.38367318619,-34.595625119096695,78587,1,Santa Fe Av.,1100.0,1154.0,Jacaranda,3.6,Ocupada,Regular,A nivel,8,5
-58.38367318619,-34.595625119096695,78593,1,Santa Fe Av.,1100.0,1162.0,Jacaranda,3.6,Ocupada,Regular,Bajo nivel,8,5
-58.384618703267,-34.595693949197695,78603,1,Santa Fe Av.,1200.0,1220.0,Jacaranda,3.6,Ocupada,Regular,A nivel,10,5
-58.386269696304105,-34.5957840619848,81469,1,Santa Fe Av.,1300.0,1346.0,Jacaranda,3.6,Ocupada,Regular,A nivel,7,4
-58.3859347206638,-34.595774178069604,81460,1,Santa Fe Av.,1300.0,1320.0,Platanus,3.6,Ocupada,Regular,A nivel,35,16
-58.3859347206638,-34.595774178069604,81461,1,Santa Fe Av.,1300.0,1320.0,Ficus,3.6,Ocupada,Regular,A nivel,45,15
