long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.418255,-34.578213,112299,14,Sarmiento Av.,2900.0,NA,Platanus,9,Ocupada,Regular,A nivel,13,9
-58.418255,-34.578213,112302,14,Sarmiento Av.,2900.0,NA,Platanus,9,Ocupada,Regular,A nivel,34,15
-58.418255,-34.578213,112303,14,Sarmiento Av.,2900.0,NA,Platanus,9,Ocupada,Fuera de línea,A nivel,67,17
-58.418255,-34.578213,113829,14,Sarmiento Av.,2900.0,NA,Platanus,9,Ocupada,Fuera de línea,A nivel,7,4
-58.415412,-34.574997,127330,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,45,9
-58.415412,-34.574997,127331,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,44,11
-58.415412,-34.574997,127332,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,46,11
-58.415412,-34.574997,127333,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,5,3
-58.415412,-34.574997,127346,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,5,3
-58.415412,-34.574997,127349,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,36,9
NA,NA,127351,14,Sarmiento Av.,NA,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,47,12
-58.415412,-34.574997,127354,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,38,5
-58.415412,-34.574997,127355,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,43,10
-58.415412,-34.574997,127356,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,34,10
-58.415412,-34.574997,127358,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,44,12
-58.415412,-34.574997,127359,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,34,9
-58.415412,-34.574997,127360,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,39,11
-58.415412,-34.574997,127365,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,6,3
-58.415412,-34.574997,127367,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,38,10
-58.415412,-34.574997,127370,14,Sarmiento Av.,3400.0,NA,Jacaranda,5.7,Ocupada,Regular,Elevada,42,9
-58.411563,-34.571118,136624,14,Sarmiento Av.,4200.0,NA,Jacaranda,6.4,Ocupada,Regular,A nivel,36,8
