long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4964563368384,-34.6228185103827,303361,10,Segurola Av.,1400.0,1430.0,Ficus,4.8,Ocupada,Regular,A nivel,37,5
-58.5041257452853,-34.6163107332824,305032,10,Segurola Av.,2150.0,2186.0,Platanus,4.4,Ocupada,Regular,Elevada,82,14
-58.5031213231871,-34.6172358069414,303777,10,Segurola Av.,2000.0,2095.0,Ficus,4.4,Ocupada,Regular,A nivel,64,14
-58.5028271556598,-34.617544050095894,303783,10,Segurola Av.,2000.0,2051.0,Ficus,4.4,Ocupada,Regular,A nivel,61,12
-58.4980613132347,-34.6215455929158,303323,10,Segurola Av.,1550.0,1584.0,Ficus,4.8,Ocupada,Ochava,Elevada,44,4
-58.4980613132347,-34.6215455929158,303324,10,Segurola Av.,1550.0,1584.0,Ficus,4.8,Ocupada,Regular,Elevada,41,4
-58.4958658131343,-34.6232876902209,304422,10,Segurola Av.,1300.0,1380.0,Ficus,4.5,Ocupada,Regular,A nivel,19,4
-58.4951170827147,-34.6238787163351,304432,10,Segurola Av.,1300.0,1312.0,Ficus,4.5,Ocupada,Ochava,A nivel,25,4
-58.50603560531261,-34.6141893767601,313032,10,Segurola Av.,2300.0,2399.0,Ficus,4.4,Sobreocupada,Ochava,A nivel,10,4
-58.4990028954039,-34.6207995432665,299297,10,Segurola Av.,1600.0,1684.0,Ficus,4.8,Ocupada,Regular,Elevada,29,3
-58.49873038521871,-34.6210155352672,299301,10,Segurola Av.,1600.0,1644.0,Tilia,4.8,Sobreocupada,Regular,Elevada,19,15
-58.4985260648301,-34.621177478786,299303,10,Segurola Av.,1600.0,1622.0,Ficus,4.8,Ocupada,Regular,Elevada,29,2
-58.50321243584859,-34.617257446146304,314533,10,Segurola Av.,2000.0,2092.0,Ficus,4.4,Ocupada,Regular,Bajo nivel,45,7
-58.5029954037201,-34.617484821011,314537,10,Segurola Av.,2000.0,2060.0,Ficus,4.4,Sobreocupada,Regular,Elevada,16,4
-58.50270194141271,-34.6177920193631,314545,10,Segurola Av.,2000.0,2024.0,Ficus,4.4,Ocupada,Regular,A nivel,55,8
