long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4225467039769,-34.648695807736104,421339,4,Tilcara Av.,2800,2823,Melia,5.6,Ocupada,Regular,A nivel,46,4
-58.4225467039769,-34.648695807736104,421340,4,Tilcara Av.,2800,2825,Ficus,5.6,Sobreocupada,Regular,A nivel,0,2
-58.4224179082098,-34.6488071074402,421342,4,Tilcara Av.,2800,2837,Tilia,5.6,Ocupada,Regular,A nivel,36,6
-58.4223525232925,-34.6488636100772,421343,4,Tilcara Av.,2800,2841,Melia,5.6,Ocupada,Regular,A nivel,56,8
-58.42228838132011,-34.6489190385143,421344,4,Tilcara Av.,2800,2863,Tilia,5.6,Ocupada,Regular,Bajo nivel,43,9
-58.42228838132011,-34.6489190385143,421345,4,Tilcara Av.,2800,2863,Tilia,5.6,Ocupada,Regular,Bajo nivel,35,8
-58.422030058293295,-34.649142267844,421349,4,Tilcara Av.,2800,2877,Lagerstroemia,5.6,Ocupada,Regular,A nivel,10,2
-58.422030058293295,-34.649142267844,421350,4,Tilcara Av.,2800,2877,Melia,5.6,Ocupada,Regular,A nivel,57,7
-58.422030058293295,-34.649142267844,421351,4,Tilcara Av.,2800,2877,Platanus,5.6,Ocupada,Regular,A nivel,82,9
-58.422959929889096,-34.648347627998,513604,4,Tilcara Av.,2700,2799,Melia,2.8,Ocupada,Regular,Elevada,38,8
-58.422959929889096,-34.648347627998,513605,4,Tilcara Av.,2700,2799,Melia,2.8,Ocupada,Regular,Elevada,17,4
-58.422959929889096,-34.648347627998,513606,4,Tilcara Av.,2700,2799,Melia,2.8,Ocupada,Regular,Elevada,33,7
-58.422959929889096,-34.648347627998,513607,4,Tilcara Av.,2700,2799,Melia,2.8,Ocupada,Regular,A Nivel,14,6
-58.42357890792,-34.647813583143304,513610,4,Tilcara Av.,2700,2771,Melia,2.8,Ocupada,Regular,A Nivel,28,9
-58.4241139674102,-34.6473572772906,513613,4,Tilcara Av.,2700,2731,Melia,2.8,Ocupada,Regular,Elevada,32,8
-58.4241139674102,-34.6473572772906,513614,4,Tilcara Av.,2700,2731,Melia,2.8,Ocupada,Regular,Elevada,31,8
-58.4241139674102,-34.6473572772906,513615,4,Tilcara Av.,2700,2731,Melia,2.8,Ocupada,Regular,Elevada,29,7
-58.4241139674102,-34.6473572772906,513616,4,Tilcara Av.,2700,2731,Melia,2.8,Ocupada,Regular,Elevada,26,7
-58.4241139674102,-34.6473572772906,513617,4,Tilcara Av.,2700,2731,Melia,2.8,Ocupada,Regular,Elevada,26,7
-58.4241139674102,-34.6473572772906,513618,4,Tilcara Av.,2700,2731,Lagerstroemia,2.8,Ocupada,Regular,Elevada,38,9
-58.4226166332588,-34.6484459333151,513749,4,Tilcara Av.,2800,2806,Melia,3.8,Ocupada,Regular,Elevada,22,7
-58.4226166332588,-34.6484459333151,513750,4,Tilcara Av.,2800,2806,Melia,3.8,Ocupada,Regular,Elevada,28,8
-58.4226166332588,-34.6484459333151,513753,4,Tilcara Av.,2800,2806,Melia,3.8,Ocupada,Regular,Elevada,23,7
-58.4226166332588,-34.6484459333151,513754,4,Tilcara Av.,2800,2806,Melia,3.8,Ocupada,Regular,Elevada,18,7
-58.4230375821533,-34.6481233294941,513758,4,Tilcara Av.,2800,2770,Melia,3.8,Ocupada,Regular,A Nivel,29,6
-58.4232873444775,-34.6479145311361,513759,4,Tilcara Av.,2800,2750,Melia,3.8,Ocupada,Regular,A Nivel,27,6
-58.4232873444775,-34.6479145311361,513761,4,Tilcara Av.,2800,2750,Melia,3.8,Ocupada,Regular,A Nivel,15,5
-58.4232873444775,-34.6479145311361,513762,4,Tilcara Av.,2800,2750,Melia,3.8,Ocupada,Regular,A Nivel,25,7
-58.4232873444775,-34.6479145311361,513766,4,Tilcara Av.,2800,2750,Melia,3.8,Ocupada,Regular,Elevada,29,7
-58.4232873444775,-34.6479145311361,513767,4,Tilcara Av.,2800,2750,Melia,3.8,Ocupada,Regular,A Nivel,41,9
-58.4232873444775,-34.6479145311361,513770,4,Tilcara Av.,2800,2750,Melia,3.8,Ocupada,Regular,Bajo Nivel,34,6
-58.4232873444775,-34.6479145311361,513771,4,Tilcara Av.,2800,2750,Melia,3.8,Ocupada,Regular,Bajo Nivel,34,6
-58.4215986769077,-34.6495167500372,513824,4,Tilcara Av.,2900,2905,Jacaranda,3.8,Sobreocupada,Ochava,A Nivel,47,7
-58.4215986769077,-34.6495167500372,513825,4,Tilcara Av.,2900,2905,Jacaranda,3.8,Sobreocupada,Ochava,A Nivel,43,7
-58.4215986769077,-34.6495167500372,513826,4,Tilcara Av.,2900,2905,Jacaranda,3.8,Ocupada,Regular,A Nivel,37,7
-58.42051622854421,-34.650251895732104,514102,4,Tilcara Av.,3000,3000,Lagerstroemia,6,Sobreocupada,Ochava,A Nivel,12,5
-58.4206325917719,-34.6501553670487,514104,4,Tilcara Av.,3000,2990,Ficus,6,Ocupada,Regular,A Nivel,65,11
-58.4206325917719,-34.6501553670487,514106,4,Tilcara Av.,3000,2990,Ficus,6,Ocupada,Regular,A Nivel,62,12
-58.4200181158338,-34.650859499177606,514525,4,Tilcara Av.,3000,3029,Melia,5.2,Ocupada,Regular,A Nivel,61,10
-58.4203315316742,-34.6505998875838,514529,4,Tilcara Av.,3000,3011,Ficus,5.2,Ocupada,Regular,Elevada,30,4
-58.4199743224278,-34.6507064450186,514548,4,Tilcara Av.,3000,3026,Tilia,5.2,Ocupada,Regular,A Nivel,34,10
-58.4199743224278,-34.6507064450186,514549,4,Tilcara Av.,3000,3028,Tilia,5.2,Ocupada,Regular,A Nivel,35,11
-58.419907512061904,-34.6507617857619,514550,4,Tilcara Av.,3000,3030,Tilia,5.2,Ocupada,Regular,A Nivel,28,11
-58.419907512061904,-34.6507617857619,514551,4,Tilcara Av.,3000,3032,Tilia,5.2,Ocupada,Regular,Elevada,30,9
-58.4197741384691,-34.6508722621953,514553,4,Tilcara Av.,3000,3042,Tilia,5.2,Ocupada,Regular,A Nivel,12,6
-58.419674669136,-34.6509546546605,514555,4,Tilcara Av.,3000,3046,Lagerstroemia,5.2,Sobreocupada,Regular,A Nivel,6,2
-58.418882224355,-34.65369906583,514771,4,Tilcara Av.,3200,3226,Tilia,3,Ocupada,Regular,A Nivel,38,11
-58.41888135244661,-34.6536830173725,514772,4,Tilcara Av.,3200,3222,Lagerstroemia,3,Ocupada,Regular,A Nivel,12,7
-58.41888135244661,-34.6536830173725,514773,4,Tilcara Av.,3200,3222,Tilia,3,Ocupada,Regular,A Nivel,25,10
-58.418926648871,-34.651861425149995,514799,4,Tilcara Av.,3100,3109,Tilia,3.6,Ocupada,Ochava,A Nivel,42,9
-58.4189326795383,-34.6520219365041,514802,4,Tilcara Av.,3100,3117,Lagerstroemia,3.6,Sobreocupada,Regular,Elevada,11,3
-58.4189531976563,-34.6525680383422,514808,4,Tilcara Av.,3100,3143,Lagerstroemia,3.6,Ocupada,Regular,Elevada,5,3
-58.418956175556495,-34.6526472965963,514809,4,Tilcara Av.,3100,3149,Melia,3.6,Ocupada,Regular,A Nivel,68,9
-58.4189677884293,-34.652956376214,514812,4,Tilcara Av.,3100,3163,Tilia,3.6,Ocupada,Regular,A Nivel,4,3
-58.4189707016793,-34.653033912846304,514813,4,Tilcara Av.,3100,3167,Lagerstroemia,3.6,Ocupada,Regular,A Nivel,8,3
-58.4189793707477,-34.6532646406533,514815,4,Tilcara Av.,3100,3179,Jacaranda,3.6,Ocupada,Regular,A Nivel,39,6
-58.418983108870705,-34.6533641307933,514816,4,Tilcara Av.,3100,3183,Lagerstroemia,3.6,Ocupada,Regular,A Nivel,6,3
-58.41901030423801,-34.653906960086005,514820,4,Tilcara Av.,3100,3237,Melia,3.6,Ocupada,Regular,Elevada,65,10
-58.420428341755105,-34.6548864826128,515125,4,Tilcara Av.,3300,3378,Tilia,4.4,Ocupada,Regular,Elevada,18,5
-58.420428341755105,-34.6548864826128,515126,4,Tilcara Av.,3300,3378,Tilia,4.4,Ocupada,Regular,Elevada,20,5
-58.42190138119471,-34.6492534632412,519571,4,Tilcara Av.,2800,2887,Ficus,3.8,Ocupada,Regular,A Nivel,45,8
-58.42190138119471,-34.6492534632412,519572,4,Tilcara Av.,2800,2887,Platanus,3.8,Ocupada,Regular,A Nivel,80,10
-58.42190138119471,-34.6492534632412,519573,4,Tilcara Av.,2800,2887,Platanus,3.8,Ocupada,Regular,A Nivel,60,4
-58.42076151720861,-34.650231741192,519574,4,Tilcara Av.,2800,2977,Lagerstroemia,3.8,Ocupada,Regular,A Nivel,11,3
-58.42228838132011,-34.6489190385143,519578,4,Tilcara Av.,2800,2863,Tilia,3.8,Ocupada,Regular,A Nivel,47,11
-58.42228838132011,-34.6489190385143,519579,4,Tilcara Av.,2800,2859,Tilia,3.8,Ocupada,Regular,A Nivel,49,11
-58.4223525232925,-34.6488636100772,519580,4,Tilcara Av.,2800,2841,Tilia,3.8,Ocupada,Fuera de línea,A Nivel,4,3
-58.4224179082098,-34.6488071074402,519581,4,Tilcara Av.,2800,2837,Tilia,3.8,Ocupada,Regular,A Nivel,40,5
-58.4225467039769,-34.648695807736104,519583,4,Tilcara Av.,2800,2825,Ficus,3.8,Sobreocupada,Regular,A Nivel,18,3
-58.4225467039769,-34.648695807736104,519584,4,Tilcara Av.,2800,2825,Ficus,3.8,Sobreocupada,Regular,A Nivel,5,2
-58.4225467039769,-34.648695807736104,519585,4,Tilcara Av.,2800,2825,Tilia,3.8,Ocupada,Regular,A Nivel,4,3
