long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.49437499773859,-34.566469653167204,126246,12,Triunvirato Av.,5600.0,5677.0,Platanus,6.5,Ocupada,Regular,A nivel,67,19
-58.4941177550362,-34.566798801655395,126276,12,Triunvirato Av.,5600.0,5643.0,Platanus,6.5,Ocupada,Regular,A nivel,51,17
-58.4941693016324,-34.5667328467445,126277,12,Triunvirato Av.,5600.0,5657.0,Platanus,6.5,Ocupada,Regular,A nivel,62,14
-58.4944681522233,-34.5663504588871,126278,12,Triunvirato Av.,5600.0,5689.0,Platanus,6.5,Ocupada,Regular,A nivel,47,16
-58.493964494808296,-34.5669949004596,126280,12,Triunvirato Av.,5600.0,5619.0,Platanus,4.5,Ocupada,Regular,Elevada,60,17
-58.4942726811228,-34.5666005702165,126281,12,Triunvirato Av.,5600.0,5669.0,Platanus,6.5,Ocupada,Regular,A nivel,56,19
-58.494066864594,-34.5668639168749,126283,12,Triunvirato Av.,5600.0,5635.0,Platanus,6.5,Ocupada,Regular,A nivel,53,17
-58.49432428695721,-34.5665345391225,126284,12,Triunvirato Av.,5600.0,5675.0,Platanus,6.5,Ocupada,Regular,A nivel,52,19
-58.4939138046233,-34.567059759091,126287,12,Triunvirato Av.,5600.0,5609.0,Platanus,6.5,Ocupada,Regular,A nivel,57,17
-58.4938536681705,-34.5671367041462,126289,12,Triunvirato Av.,5600.0,5607.0,Platanus,6.5,Ocupada,Ochava,A nivel,68,16
-58.49365449344579,-34.56739180101889,127366,12,Triunvirato Av.,5500.0,5587.0,Platanus,6.8,Ocupada,Regular,A nivel,52,7
-58.49365449344579,-34.56739180101889,127388,12,Triunvirato Av.,5500.0,5595.0,Platanus,6.8,Ocupada,Regular,A nivel,61,7
-58.496242272742606,-34.5639107892383,127689,12,Triunvirato Av.,5800.0,5875.0,Platanus,6.8,Ocupada,Regular,A nivel,46,10
-58.4956814802921,-34.5646871072232,127691,12,Triunvirato Av.,5800.0,5803.0,Platanus,6.8,Ocupada,Regular,Bajo nivel,48,15
-58.496242272742606,-34.5639107892383,127692,12,Triunvirato Av.,5800.0,5873.0,Platanus,6.8,Ocupada,NA,A nivel,55,13
-58.4963434711357,-34.563770615801104,127694,12,Triunvirato Av.,5800.0,5885.0,Platanus,6.8,Ocupada,Regular,Elevada,53,10
-58.4962930949425,-34.5638403937051,127696,12,Triunvirato Av.,5800.0,5877.0,Platanus,6.8,Sobreocupada,Regular,A nivel,46,9
-58.493570743658104,-34.5674989996176,127849,12,Triunvirato Av.,5500.0,5575.0,Platanus,6.8,Ocupada,Regular,A nivel,52,13
-58.4932081086905,-34.5679596846251,127850,12,Triunvirato Av.,5500.0,5533.0,Platanus,6.8,Ocupada,Regular,Elevada,61,13
-58.496394192264795,-34.5637003599856,127861,12,Triunvirato Av.,5800.0,5889.0,Platanus,6.8,Ocupada,Regular,Elevada,40,13
-58.496394192264795,-34.5637003599856,127863,12,Triunvirato Av.,5800.0,5889.0,Platanus,6.8,Ocupada,Regular,Elevada,45,14
-58.4963434711357,-34.563770615801104,127865,12,Triunvirato Av.,5800.0,5885.0,Platanus,6.8,Ocupada,Regular,A nivel,54,12
-58.493570743658104,-34.5674989996176,127869,12,Triunvirato Av.,5500.0,5575.0,Platanus,6.8,Ocupada,Regular,A nivel,76,18
-58.4932598283035,-34.5678934668985,127870,12,Triunvirato Av.,5500.0,5537.0,Platanus,6.8,Ocupada,Regular,Bajo nivel,3,3
-58.4934057023336,-34.5677067005698,127872,12,Triunvirato Av.,5500.0,5549.0,Platanus,6.8,Ocupada,Regular,Elevada,66,19
-58.4934076594186,-34.567707767067105,127873,12,Triunvirato Av.,5500.0,5551.0,Platanus,6.8,Ocupada,Regular,Elevada,52,17
-58.49316217685221,-34.5680184920396,127874,12,Triunvirato Av.,5500.0,5525.0,Platanus,6.8,Ocupada,Regular,A nivel,63,16
-58.49307689196421,-34.568127683646495,127876,12,Triunvirato Av.,5500.0,5509.0,Platanus,6.8,Ocupada,Ochava,Elevada,57,15
-58.4933103221778,-34.5678288183813,127877,12,Triunvirato Av.,5500.0,5545.0,Platanus,6.8,Ocupada,Regular,Elevada,55,17
-58.493091048331,-34.5681095590413,127878,12,Triunvirato Av.,5500.0,5511.0,Platanus,6.8,Ocupada,Regular,A nivel,66,17
-58.4934076594186,-34.567707767067105,127880,12,Triunvirato Av.,5500.0,5557.0,Platanus,6.8,Ocupada,Regular,A nivel,61,18
-58.4934076594186,-34.567707767067105,127882,12,Triunvirato Av.,5500.0,5557.0,Platanus,6.8,Ocupada,Regular,Elevada,62,21
