long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.461405185629,-34.6368057861742,361435,7,Varela Av.,600.0,636,Ficus,2.8,Sobreocupada,Regular,Bajo nivel,32,8
-58.4615314736342,-34.636689179966396,361437,7,Varela Av.,600.0,620,Platanus,2.8,Ocupada,Regular,Elevada,50,17
-58.461731079478795,-34.6366917144288,361370,7,Varela Av.,600.0,605,Ficus,3.2,Ocupada,Regular,A nivel,50,14
-58.4614700720768,-34.6369327122864,361372,7,Varela Av.,600.0,641,Ficus,3.2,Ocupada,Regular,A nivel,43,8
-58.461151830785106,-34.6372265536748,361374,7,Varela Av.,600.0,667,Platanus,3.2,Ocupada,Regular,Bajo nivel,55,19
-58.461091510147895,-34.6372822491381,361375,7,Varela Av.,600.0,671,Platanus,3.2,Ocupada,Regular,Bajo nivel,41,16
-58.4610282878751,-34.637340623628,361376,7,Varela Av.,600.0,679,Platanus,3.2,Ocupada,Regular,A nivel,58,14
-58.46089172189279,-34.6374667175703,361378,7,Varela Av.,600.0,691,Platanus,3.2,Ocupada,Regular,Bajo nivel,17,9
-58.4608403556824,-34.6373273081132,361429,7,Varela Av.,600.0,686,Platanus,2.8,Ocupada,Regular,A nivel,51,18
-58.4549795340523,-34.6427383403424,353056,7,Varela Av.,1200.0,1226,Platanus,3.2,Ocupada,Regular,A nivel,88,7
-58.4546877399729,-34.6430076289361,353058,7,Varela Av.,1200.0,1246,Ficus,3.2,Ocupada,Regular,A nivel,14,3
-58.45478798909921,-34.643099446251995,377536,7,Varela Av.,1200.0,1263,Platanus,3.6,Ocupada,Regular,Bajo nivel,50,16
-58.454645085643904,-34.6432329215178,377537,7,Varela Av.,1200.0,1285,Platanus,3.6,Ocupada,Regular,Bajo nivel,30,17
-58.45458927632421,-34.6432828314703,377538,7,Varela Av.,1200.0,1291,Platanus,3.6,Ocupada,Regular,A nivel,45,17
-58.4583496134614,-34.6398151900879,419193,7,Varela Av.,900.0,925,Platanus,3.2,Ocupada,Regular,A nivel,52,13
-58.458291694843105,-34.6398686511063,419194,7,Varela Av.,900.0,935,Platanus,3.2,Ocupada,Regular,A nivel,49,10
-58.4577197838941,-34.6403965407383,419197,7,Varela Av.,900.0,999,Melia,3.2,Ocupada,Regular,A nivel,28,8
-58.4619496171863,-34.6363024404573,429091,7,Varela Av.,500.0,586,Platanus,3.2,Sobreocupada,Regular,A nivel,19,8
-58.4619496171863,-34.6363024404573,429093,7,Varela Av.,500.0,586,Platanus,3.2,Ocupada,Regular,A nivel,43,16
-58.462354273947106,-34.6359256316924,429097,7,Varela Av.,500.0,550,Tilia,3.2,Ocupada,Regular,A nivel,25,8
-58.4624698015084,-34.6358180537161,429099,7,Varela Av.,500.0,538,Tilia,4.4,Ocupada,Regular,A nivel,25,8
