long,lat,nro_registro,comuna,calle_nombre,calle_altura,calle_chapa,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4742850650562,-34.5969283306026,207303,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,61,11
-58.4742850650562,-34.5969283306026,207552,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,55,13
-58.4742850650562,-34.5969283306026,207309,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,26,6
-58.4742850650562,-34.5969283306026,207566,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,50,12
-58.4742850650562,-34.5969283306026,207573,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,48,11
-58.4742850650562,-34.5969283306026,207336,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,38,3
-58.4742850650562,-34.5969283306026,207592,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,48,12
-58.4742850650562,-34.5969283306026,207598,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,41,11
-58.4742850650562,-34.5969283306026,207371,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,44,12
-58.4742850650562,-34.5969283306026,207613,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,47,13
-58.4742850650562,-34.5969283306026,207625,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,36,11
-58.4742850650562,-34.5969283306026,207383,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,55,11
-58.4742850650562,-34.5969283306026,207634,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,49,14
-58.4742850650562,-34.5969283306026,207644,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,37,11
-58.4742850650562,-34.5969283306026,207397,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,43,9
-58.4742850650562,-34.5969283306026,207414,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,41,11
-58.4742850650562,-34.5969283306026,207423,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,45,12
-58.4742850650562,-34.5969283306026,207672,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,41,11
-58.437389250664,-34.6043642271449,207902,15,Warnes Av.,0.0,15,Ficus,6,Ocupada,Regular,A nivel,35,7
-58.4742850650562,-34.5969283306026,207440,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,36,9
-58.4742850650562,-34.5969283306026,207684,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,60,13
-58.4742850650562,-34.5969283306026,207449,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,48,13
-58.4742850650562,-34.5969283306026,207700,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,55,13
-58.437389250664,-34.6043642271449,207943,15,Warnes Av.,0.0,17,Ficus,6,Ocupada,Regular,A nivel,45,8
-58.4742850650562,-34.5969283306026,207473,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,49,14
-58.4742850650562,-34.5969283306026,207480,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,41,11
-58.4742850650562,-34.5969283306026,207494,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,54,14
-58.4742850650562,-34.5969283306026,207505,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,43,11
-58.4742850650562,-34.5969283306026,207516,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,51,14
-58.4742850650562,-34.5969283306026,207529,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,41,11
-58.4742850650562,-34.5969283306026,207541,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,50,13
-58.440031804431705,-34.6033191877984,206718,15,Warnes Av.,2500.0,200,Platanus,7,Ocupada,Regular,A nivel,51,11
-58.4742850650562,-34.5969283306026,206720,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,46,8
-58.4712928996494,-34.596462905616995,206483,15,Warnes Av.,2450.0,2450,Platanus,7,Ocupada,Regular,A nivel,58,13
-58.4725121197822,-34.5966606333072,206761,15,Warnes Av.,2500.0,2500,Platanus,7,Ocupada,Regular,A nivel,23,8
-58.46838827675701,-34.5962135544836,192486,15,Warnes Av.,2250.0,2275,Platanus,4.3,Ocupada,Ochava,Elevada,80,20
-58.46838827675701,-34.5962135544836,192496,15,Warnes Av.,2250.0,2275,Platanus,4.3,Ocupada,Regular,Elevada,81,16
-58.4712928996494,-34.596462905616995,206488,15,Warnes Av.,2400.0,2450,Platanus,7,Ocupada,Regular,A nivel,68,11
-58.46838827675701,-34.5962135544836,192501,15,Warnes Av.,2250.0,2275,Platanus,4.3,Ocupada,Regular,Elevada,67,15
-58.46838827675701,-34.5962135544836,192503,15,Warnes Av.,2250.0,2275,Platanus,4,Ocupada,Regular,A nivel,68,18
-58.46852641888,-34.5962115048171,192512,15,Warnes Av.,2250.0,2299,Platanus,4.3,Ocupada,Ochava,A nivel,64,15
-58.4712928996494,-34.596462905616995,206512,15,Warnes Av.,2450.0,2450,Platanus,7,Ocupada,Regular,A nivel,103,14
-58.4712928996494,-34.596462905616995,206528,15,Warnes Av.,2400.0,2450,Platanus,7,Ocupada,Regular,A nivel,61,12
-58.4571703803859,-34.5973574894116,191954,15,Warnes Av.,1500.0,1530,Ficus,4.2,Ocupada,Fuera de línea,Bajo nivel,41,4
-58.4712928996494,-34.596462905616995,206543,15,Warnes Av.,2450.0,2450,Platanus,7,Ocupada,Regular,A nivel,60,12
-58.4742850650562,-34.5969283306026,206814,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,61,13
-58.4742850650562,-34.5969283306026,206815,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,56,12
-58.438121975263606,-34.6040180028218,206004,15,Warnes Av.,0.0,57,Jacaranda,4.4,Ocupada,Regular,A nivel,16,6
-58.4712928996494,-34.596462905616995,206562,15,Warnes Av.,2400.0,2450,Platanus,7,Ocupada,Regular,A nivel,55,13
-58.4712928996494,-34.596462905616995,206566,15,Warnes Av.,2450.0,2450,Platanus,7,Ocupada,Regular,A nivel,70,13
-58.4712928996494,-34.596462905616995,206587,15,Warnes Av.,2400.0,2450,Platanus,7,Ocupada,Regular,A nivel,57,12
-58.4742850650562,-34.5969283306026,206850,15,Warnes Av.,2700.0,2707,Platanus,7,Ocupada,Regular,A nivel,22,5
